%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1747537006972078790,0,371,0,483,612,479,0,303,489,595,667,668,480
1747537007074365518,0,372,0,479,613,479,0,303,488,595,669,668,479
1747537007172659411,0,370,0,481,613,479,0,303,489,596,668,668,480
1747537007275113561,0,371,0,481,616,479,0,304,488,596,670,669,480
1747537007373452581,0,370,0,479,612,480,0,306,490,596,669,669,480
1747537007471736592,0,371,0,480,613,479,0,304,488,596,668,669,480
1747537007573874812,0,371,0,483,615,480,0,304,489,595,668,668,480
1747537007672578745,0,370,0,481,613,479,0,304,489,595,669,668,479
1747537007774769403,0,370,0,479,610,477,0,304,489,596,669,668,479
1747537007872874764,0,368,0,479,614,478,0,304,488,596,669,669,480
1747537007975193536,0,370,0,482,612,479,0,303,487,595,669,669,480
1747537008073894691,0,386,0,481,614,478,0,303,487,595,668,668,479
1747537008172266813,0,370,0,484,612,478,0,304,489,596,668,669,481
1747537008274307459,0,369,0,482,612,479,0,304,489,595,668,668,480
1747537008372917469,0,369,0,480,614,478,4,304,489,596,667,668,479
1747537008474974951,0,369,1,482,614,480,0,305,490,598,669,668,480
1747537008573616260,0,370,0,479,612,478,0,304,488,596,668,668,480
1747537008671671965,0,370,0,480,614,479,0,303,488,596,669,668,479
1747537008774131910,0,370,0,483,613,479,4,305,489,596,669,669,480
1747537008872510441,0,369,0,481,613,478,0,304,488,596,669,669,480
1747537008974721463,0,370,0,480,613,478,0,304,488,596,669,668,481
1747537009073435993,0,369,0,480,614,479,0,304,489,597,669,669,480
1747537009175428322,0,369,0,479,613,478,0,304,489,595,669,669,482
1747537009273809212,0,369,0,479,611,477,0,303,489,596,669,669,480
1747537009372567735,0,370,1,481,612,478,0,304,490,596,669,669,481
1747537009474644027,0,372,0,483,613,479,0,304,489,596,669,669,481
1747537009573097911,0,369,0,479,614,479,0,305,490,596,669,668,481
1747537009675223459,0,369,0,482,612,479,0,305,490,597,668,669,479
1747537009773323347,0,370,0,480,614,479,0,305,489,598,669,668,481
1747537009872091779,0,369,0,481,613,478,0,305,489,596,670,669,480
1747537009974203589,0,372,0,481,612,479,0,304,490,598,670,670,480
1747537010072986698,0,371,0,481,614,478,0,305,490,597,670,670,480
1747537010174977024,0,368,0,481,613,480,0,305,490,597,670,671,481
1747537010273306383,0,371,0,480,613,480,0,304,490,596,671,670,480
1747537010371852441,0,370,0,484,613,482,1,304,489,597,669,670,482
1747537010474152710,0,372,0,478,613,475,0,304,489,597,669,668,481
1747537010572544639,0,370,0,479,612,477,0,305,490,597,669,670,481
1747537010674660654,0,372,0,482,612,478,0,303,490,598,669,669,479
1747537010772960644,0,377,0,483,613,479,0,305,489,598,670,669,481
1747537010875312756,0,372,0,481,612,478,1,305,490,597,670,668,481
1747537010973866743,0,374,0,483,612,479,0,306,489,598,670,670,481
1747537011072111807,0,374,1,470,609,478,0,306,489,599,668,670,481
1747537011174470241,0,374,5,472,614,479,0,305,491,596,670,669,481
1747537011272770606,0,377,0,477,613,479,0,307,490,599,670,671,480
1747537011374824888,0,372,0,485,615,477,5,305,490,597,669,670,481
1747537011473041410,0,380,0,480,612,478,0,306,491,597,671,668,482
1747537011571560805,0,378,0,483,613,478,0,304,488,598,669,670,480
1747537011673872613,0,385,0,482,614,473,0,305,489,598,670,669,481
1747537011772350406,0,384,10,468,616,481,0,306,490,598,671,669,479
1747537011874302181,0,386,1,476,613,478,2,305,489,599,670,671,480
1747537011973208612,0,389,0,476,614,480,0,304,489,598,672,671,481
1747537012075059989,0,390,0,481,614,475,0,306,492,598,671,671,483
1747537012173943095,0,388,1,475,610,479,0,305,491,598,670,671,482
1747537012272243192,0,395,0,483,610,478,2,304,490,600,672,669,482
1747537012374469759,0,395,1,472,614,481,0,307,491,599,672,671,480
1747537012472939951,0,400,0,490,614,477,3,302,489,600,671,671,482
1747537012574996569,0,402,2,482,613,479,0,305,492,599,672,672,482
1747537012673843352,0,402,0,481,613,478,0,306,492,600,673,672,481
1747537012771635115,0,407,0,482,613,478,0,307,492,599,673,673,484
1747537012874096794,0,409,0,479,614,478,0,305,492,599,673,672,482
1747537012972748187,0,412,0,481,613,478,0,304,491,599,673,672,483
1747537013074532330,0,416,0,477,613,479,0,306,492,600,673,672,483
1747537013173107378,0,413,0,481,618,479,0,306,493,600,673,673,482
1747537013275341654,0,419,0,483,613,482,0,306,493,601,674,673,483
1747537013374268737,0,424,0,478,611,479,0,306,492,602,675,674,484
1747537013472647435,0,425,0,480,614,481,0,306,493,601,675,675,484
1747537013574341370,0,428,2,472,611,479,0,307,494,601,673,675,484
1747537013673407829,0,434,3,475,613,481,0,310,494,602,676,674,484
1747537013775252950,0,434,0,482,615,461,0,308,494,601,676,674,485
1747537013873539182,0,444,0,483,612,478,0,307,495,603,676,676,484
1747537013971762233,0,444,0,475,612,479,0,307,494,602,676,677,486
1747537014074183947,0,444,0,480,613,479,0,301,491,601,675,676,484
1747537014172740266,0,448,0,482,613,478,0,305,493,602,677,676,484
1747537014275053942,0,448,0,484,616,480,0,306,493,603,678,677,486
1747537014373343235,0,456,2,482,612,480,0,308,494,603,677,677,486
1747537014471734052,0,459,0,483,612,478,1,309,495,604,677,676,486
1747537014574030367,0,466,0,483,612,476,0,308,495,604,678,677,487
