%time,field.layout.data_offset,field.data3,field.data1,field.data2,field.data0,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1747548013540510843,0,508,0,652,512,270,0,321,510,621,692,691,489
1747548013638922975,0,509,0,655,513,270,0,320,511,621,693,691,487
1747548013740921760,0,508,0,658,512,270,0,318,507,617,689,688,487
1747548013839412281,0,507,0,652,511,271,0,316,504,612,682,681,483
1747548013938791435,0,508,0,652,512,271,0,319,508,617,686,685,483
1747548014040501409,0,508,0,653,514,271,0,319,509,621,693,693,489
1747548014138540210,0,507,1,652,512,271,0,321,510,621,692,691,488
1747548014241021399,0,508,0,652,512,269,0,321,511,621,692,690,488
1747548014339478638,0,508,0,653,512,271,0,321,511,621,692,691,489
1747548014437941510,0,507,0,653,512,271,0,320,509,620,692,691,488
1747548014540401344,0,509,0,653,513,269,0,320,509,619,691,690,488
1747548014638567506,0,508,0,649,513,270,0,321,511,621,691,690,488
1747548014741377685,0,507,0,652,512,270,0,320,509,620,691,690,488
1747548014839472424,0,508,0,652,513,270,1,321,510,620,691,690,487
1747548014941682528,0,507,0,653,513,270,0,320,510,621,691,690,487
1747548015040005003,0,509,0,652,512,270,0,319,510,620,692,691,488
1747548015138566389,0,508,0,652,513,271,0,320,510,620,690,690,488
1747548015240395662,0,508,0,653,513,270,0,320,510,622,691,689,488
1747548015338949765,0,509,0,653,514,273,0,320,509,621,693,691,488
1747548015441100224,0,509,0,652,513,271,0,321,509,619,692,690,488
1747548015538962155,0,508,0,652,510,266,0,321,510,621,691,690,487
1747548015637899511,0,508,0,651,513,270,0,319,510,620,692,691,488
1747548015740317453,0,508,0,652,513,271,0,320,510,620,691,691,489
1747548015838797771,0,509,0,653,513,270,0,321,510,621,691,690,488
1747548015940779577,0,507,0,651,512,272,0,320,510,620,692,692,487
1747548016039206885,0,509,1,652,513,270,0,320,510,619,692,692,488
1747548016137619441,0,508,0,653,513,270,0,323,513,621,692,691,488
1747548016239753027,0,507,0,653,512,271,0,321,512,621,692,692,488
1747548016338577857,0,508,0,652,514,270,0,320,510,621,692,692,489
1747548016440504428,0,509,0,652,513,272,1,321,510,621,691,690,489
1747548016538672660,0,508,0,652,513,270,0,320,511,621,692,691,488
1747548016640905159,0,508,0,652,513,270,0,320,509,620,692,690,488
1747548016739526000,0,505,0,653,513,270,0,321,511,619,691,691,488
1747548016837935141,0,508,0,652,514,270,0,320,510,620,691,690,487
1747548016940428449,0,507,0,652,513,270,0,319,509,618,691,689,487
1747548017038945084,0,507,0,652,513,268,0,320,510,619,690,689,487
1747548017140933929,0,510,0,652,513,271,0,320,510,619,690,688,487
1747548017239115111,0,507,0,652,514,273,0,319,509,618,691,689,487
1747548017337758584,0,508,0,652,515,271,0,319,510,618,690,689,487
1747548017440122688,0,507,0,653,513,271,0,320,510,620,689,688,486
1747548017538639980,0,508,0,652,514,271,0,319,508,619,689,689,486
1747548017640344308,0,509,2,652,512,271,0,320,509,618,687,687,486
1747548017738991544,0,506,0,651,513,274,2,320,510,619,688,688,486
1747548017841173139,0,508,0,653,513,271,0,319,508,618,686,687,486
1747548017939500780,0,505,0,651,516,270,0,320,508,620,687,686,484
1747548018037929594,0,510,0,652,514,272,0,319,508,619,688,687,486
1747548018140190608,0,507,0,652,514,270,0,320,509,617,688,688,485
1747548018238514982,0,510,0,653,513,269,0,319,509,620,687,686,486
1747548018341446023,0,509,1,651,514,269,0,320,510,617,689,689,484
1747548018439615248,0,505,0,653,513,270,0,316,507,616,686,688,485
1747548018538090853,0,508,0,653,515,271,0,320,509,618,688,687,485
1747548018639803134,0,509,0,653,515,270,0,319,509,618,687,688,486
1747548018738768402,0,509,1,652,515,271,0,320,510,620,688,688,486
1747548018841076510,0,508,0,653,516,269,0,320,509,621,687,688,487
1747548018939367458,0,508,0,652,515,271,0,320,509,619,690,688,486
1747548019037627570,0,509,0,652,516,271,0,321,511,619,689,690,486
1747548019139984805,0,508,3,653,516,270,0,319,509,621,689,689,488
1747548019238347694,0,508,0,652,516,272,0,320,510,621,689,690,487
1747548019340648825,0,508,2,652,516,272,0,321,511,622,691,691,487
1747548019438970723,0,507,0,653,518,270,0,321,512,621,690,690,488
1747548019541275979,0,508,0,652,515,270,0,321,512,622,692,690,487
1747548019639518955,0,509,0,652,518,271,0,322,511,623,693,691,490
1747548019737991271,0,507,0,658,519,271,0,322,511,622,692,690,488
1747548019840177937,0,508,0,653,516,270,0,322,513,623,693,692,489
1747548019938270508,0,508,0,651,519,270,0,322,513,623,693,693,489
1747548020040910558,0,508,1,653,518,269,0,323,513,624,693,693,489
1747548020139366293,0,509,0,651,517,271,0,323,513,624,694,694,490
1747548020237861014,0,507,0,653,519,271,0,323,513,624,694,694,491
1747548020339809236,0,507,0,653,514,270,0,324,514,625,695,694,490
1747548020438372447,0,508,0,653,519,270,0,323,514,625,695,696,491
1747548020540801283,0,507,0,652,519,272,0,323,515,626,695,696,490
1747548020639263577,0,508,0,652,518,269,0,324,515,627,697,697,492
1747548020741350108,0,508,0,652,517,272,0,324,515,626,697,697,493
1747548020839701340,0,508,0,653,520,269,0,325,517,628,698,698,492
1747548020938014973,0,509,0,652,519,267,0,324,515,627,699,698,494
1747548021040278298,0,508,0,652,521,271,0,325,517,629,698,699,494
1747548021138698350,0,508,0,653,522,271,0,325,517,629,700,699,494
1747548021240914561,0,508,0,652,519,271,0,325,517,629,700,699,495
1747548021339322931,0,507,0,652,521,270,0,325,518,630,701,701,495
1747548021437854180,0,508,0,652,521,271,0,325,517,630,701,701,495
1747548021540222673,0,507,0,652,519,271,0,327,519,631,702,700,496
1747548021638888440,0,509,0,652,522,271,0,325,518,630,702,701,497
1747548021740791542,0,508,0,652,522,271,0,326,518,630,702,701,495
1747548021839615184,0,507,0,653,525,269,0,326,519,631,703,701,496
1747548021941428626,0,509,0,652,523,270,0,327,518,631,703,702,496
