%time,field.layout.data_offset,field.data0,field.data1
1748214070686862675,0,777,-4685
1748214070706865372,0,777,-4685
1748214070726568032,0,777,-4685
1748214070746709364,0,777,-4685
1748214070766725649,0,777,-4685
1748214070786785128,0,777,-4685
1748214070806484228,0,777,-4685
1748214070826437308,0,777,-4685
1748214070846694423,0,777,-4685
1748214070866697104,0,777,-4685
1748214070886843950,0,777,-4685
1748214070906904227,0,777,-4685
1748214070926706813,0,777,-4685
1748214070946764386,0,777,-4685
1748214070966753253,0,777,-4685
1748214070986629988,0,777,-4685
1748214071006876135,0,777,-4685
1748214071026817240,0,777,-4685
1748214071046540634,0,777,-4685
1748214071066731138,0,777,-4685
1748214071086597002,0,777,-4685
1748214071106611853,0,777,-4685
1748214071126557422,0,777,-4685
1748214071146646383,0,777,-4685
1748214071166666114,0,777,-4685
1748214071186647891,0,777,-4685
1748214071206641527,0,777,-4685
1748214071226792447,0,777,-4685
1748214071246581834,0,777,-4685
1748214071266712428,0,777,-4685
1748214071286731140,0,777,-4685
1748214071306705143,0,777,-4685
1748214071326517051,0,777,-4685
1748214071346597441,0,777,-4685
1748214071366464012,0,777,-4685
1748214071386992833,0,777,-4685
1748214071406597133,0,777,-4685
1748214071426673407,0,777,-4685
1748214071446604392,0,777,-4685
1748214071466808362,0,777,-4685
1748214071486813263,0,777,-4685
1748214071506758357,0,777,-4685
1748214071526925149,0,777,-4685
1748214071546425724,0,777,-4685
1748214071566711778,0,777,-4685
1748214071586685904,0,777,-4685
1748214071606541611,0,777,-4685
1748214071626780275,0,777,-4685
1748214071646673172,0,777,-4685
1748214071666853724,0,777,-4685
1748214071686773217,0,777,-4685
1748214071706661558,0,777,-4685
1748214071726920412,0,777,-4685
1748214071746841953,0,777,-4685
1748214071766790285,0,777,-4685
1748214071786728030,0,777,-4685
1748214071806971587,0,777,-4685
1748214071826972119,0,777,-4685
1748214071846965793,0,777,-4685
1748214071866688585,0,777,-4685
1748214071886839017,0,777,-4685
1748214071906964302,0,777,-4685
1748214071926887263,0,777,-4685
1748214071946689637,0,777,-4685
1748214071966866338,0,777,-4685
1748214071986893977,0,777,-4685
1748214072006767724,0,777,-4685
1748214072026757026,0,777,-4685
1748214072046921989,0,777,-4685
1748214072066581646,0,777,-4685
1748214072086882176,0,777,-4685
1748214072106756447,0,777,-4685
1748214072126859744,0,777,-4685
1748214072146736581,0,777,-4685
1748214072166818914,0,777,-4685
1748214072186919330,0,777,-4685
1748214072206591968,0,777,-4685
1748214072226840005,0,777,-4685
1748214072246869099,0,777,-4685
1748214072266779670,0,777,-4685
1748214072286801501,0,777,-4685
1748214072306788052,0,777,-4685
1748214072326626464,0,777,-4685
1748214072346692597,0,777,-4685
1748214072366806744,0,777,-4685
1748214072386587874,0,777,-4685
1748214072406603872,0,777,-4685
1748214072426655472,0,777,-4685
1748214072446808743,0,777,-4685
1748214072466852981,0,777,-4685
1748214072486642928,0,777,-4685
1748214072506590150,0,777,-4685
1748214072526782203,0,777,-4685
1748214072546721299,0,777,-4685
1748214072566732123,0,777,-4685
1748214072586753869,0,777,-4685
1748214072606819122,0,777,-4685
1748214072626982853,0,777,-4685
1748214072646867251,0,777,-4685
1748214072666866053,0,777,-4685
1748214072686948315,0,777,-4685
1748214072706916457,0,776,-4685
1748214072726868454,0,775,-4685
1748214072746627906,0,771,-4685
1748214072766693715,0,767,-4685
1748214072786566340,0,763,-4685
1748214072807101564,0,759,-4685
1748214072826897121,0,755,-4685
1748214072846500217,0,751,-4685
1748214072866903036,0,747,-4685
1748214072886956479,0,743,-4685
1748214072907069335,0,739,-4685
1748214072926794717,0,735,-4685
1748214072946759987,0,731,-4685
1748214072966826057,0,727,-4685
1748214072986748730,0,723,-4685
1748214073006765330,0,719,-4685
1748214073026818661,0,715,-4685
1748214073046869072,0,711,-4685
1748214073066914197,0,707,-4685
1748214073086541554,0,703,-4685
1748214073106618832,0,699,-4685
1748214073126662685,0,695,-4685
1748214073146535517,0,691,-4685
1748214073166872226,0,687,-4685
1748214073186714878,0,683,-4685
1748214073206534463,0,679,-4685
1748214073226589361,0,675,-4685
1748214073246508321,0,671,-4685
1748214073266535493,0,667,-4685
1748214073286802024,0,663,-4685
1748214073306856731,0,659,-4685
1748214073326651857,0,655,-4685
1748214073346598362,0,651,-4685
1748214073366944888,0,647,-4685
