%time,field.layout.data_offset,field.data0,field.data1
1748215972063140481,0,0,8
1748215972084113598,0,0,7
1748215972105102385,0,0,7
1748215972126245642,0,0,8
1748215972147090451,0,0,8
1748215972167977778,0,0,8
1748215972189017509,0,0,8
1748215972209726182,0,0,8
1748215972235826141,0,0,8
1748215972256878426,0,0,7
1748215972277718543,0,0,8
1748215972298697247,0,0,8
1748215972319737171,0,0,8
1748215972340625157,0,0,8
1748215972361495404,0,0,8
1748215972382423408,0,0,8
1748215972403460270,0,0,8
1748215972424419371,0,0,8
1748215972445521214,0,0,8
1748215972466340113,0,0,8
1748215972487530937,0,0,8
1748215972508231250,0,0,8
1748215972529712373,0,0,8
1748215972551294803,0,0,7
1748215972577359881,0,0,8
1748215972598356138,0,0,8
1748215972619151104,0,0,7
1748215972640040015,0,0,7
1748215972660996713,0,0,8
1748215972682030520,0,0,8
1748215972702997305,0,0,8
1748215972723954607,0,0,8
1748215972745423310,0,0,7
1748215972766229863,0,0,7
1748215972787055092,0,0,8
1748215972807863514,0,0,8
1748215972829030323,0,0,8
1748215972849669234,0,0,8
1748215972875656543,0,0,8
1748215972896847348,0,0,8
1748215972917843414,0,0,7
1748215972938743562,0,0,8
1748215972960024294,0,0,8
1748215972981619056,0,0,8
1748215973002313521,0,0,8
1748215973023388158,0,0,8
1748215973044894382,0,0,8
1748215973065679127,0,0,8
1748215973086603719,0,0,7
1748215973107540129,0,0,7
1748215973128473238,0,0,7
1748215973149426090,0,0,8
1748215973170368452,0,0,8
1748215973196469367,0,0,7
1748215973217448122,0,0,7
1748215973238415695,0,0,7
1748215973259321918,0,0,7
1748215973280291870,0,0,8
1748215973301290333,0,0,8
1748215973322376962,0,0,8
1748215973343564915,0,0,7
1748215973364348370,0,0,8
1748215973385120933,0,0,8
1748215973406098303,0,0,8
1748215973427183109,0,0,8
1748215973448132254,0,0,8
1748215973469220563,0,0,7
1748215973489975317,0,0,7
1748215973510817753,0,0,8
1748215973536849787,0,0,8
1748215973557977562,0,0,8
1748215973578853385,0,0,8
1748215973599982616,0,0,8
1748215973621084160,0,0,8
1748215973643075949,0,0,8
1748215973663646333,0,0,8
1748215973684785572,0,0,8
1748215973706931461,0,0,8
1748215973728593509,0,0,8
1748215973749494923,0,0,8
1748215973770126806,0,0,8
1748215973791001140,0,0,8
1748215973816066556,0,0,8
1748215973837031666,0,0,8
1748215973857836580,0,0,7
1748215973878916584,0,0,8
1748215973899966458,0,0,7
1748215973920840056,0,0,8
1748215973942227538,0,0,8
1748215973962819299,0,0,8
1748215973983683556,0,0,8
1748215974004639713,0,0,7
1748215974025541312,0,0,8
1748215974046760045,0,0,7
1748215974067602370,0,0,7
1748215974088239416,0,0,8
1748215974109351789,0,0,7
1748215974130468446,0,0,8
1748215974156107434,0,0,8
1748215974177274928,0,0,8
1748215974198225730,0,0,8
1748215974219179118,0,0,8
1748215974239999601,0,0,8
1748215974261091105,0,0,8
1748215974282043572,0,0,8
1748215974303116311,0,0,8
1748215974324149229,0,0,8
1748215974345178834,0,0,8
1748215974366018244,0,0,8
1748215974387089277,0,0,7
1748215974408839996,0,0,7
1748215974429857619,0,0,8
1748215974450606193,0,0,8
1748215974475641153,0,0,8
1748215974496608436,0,0,8
1748215974517590339,0,0,8
1748215974538663318,0,0,8
1748215974559547998,0,0,8
1748215974580562315,0,0,7
1748215974601257729,0,0,7
1748215974622424219,0,0,8
1748215974643392817,0,0,8
1748215974664294517,0,0,8
1748215974685395469,0,0,8
1748215974706194386,0,0,8
1748215974727639955,0,0,7
1748215974748676778,0,0,8
1748215974769450631,0,0,8
1748215974790265198,0,0,8
1748215974815248109,0,0,8
1748215974836450160,0,0,8
1748215974857422601,0,0,8
1748215974878255667,0,0,8
1748215974899234720,0,0,8
1748215974920104611,0,0,8
1748215974941241747,0,0,8
1748215974961952053,0,0,8
1748215974982903350,0,0,8
1748215975003901765,0,0,8
1748215975024603361,0,0,8
1748215975046032832,0,0,8
1748215975067004019,0,0,8
1748215975087645060,0,0,8
1748215975108771266,0,0,7
1748215975130060228,0,0,8
1748215975150944572,0,0,8
1748215975176718994,0,0,8
1748215975197542816,0,0,8
1748215975218609675,0,0,8
1748215975239601026,0,0,8
1748215975260365531,0,0,8
1748215975281738609,0,0,7
1748215975302627136,0,0,8
1748215975323302061,0,0,8
1748215975344542227,0,0,7
1748215975365507212,0,0,8
1748215975386314528,0,0,7
1748215975407245425,0,0,8
1748215975428350586,0,0,8
1748215975449326413,0,0,8
1748215975469932798,0,0,8
1748215975495224593,0,0,8
1748215975516086603,0,0,8
1748215975536991161,0,0,8
1748215975558185534,0,0,8
1748215975579256075,0,0,8
1748215975600045642,0,0,9
1748215975621030459,0,0,7
1748215975642182654,0,0,8
1748215975662828934,0,0,8
1748215975683809509,0,0,8
1748215975704959689,0,0,8
1748215975726081020,0,0,8
1748215975746921207,0,0,8
1748215975767584676,0,0,8
1748215975788175831,0,0,8
1748215975809234710,0,0,7
1748215975830420816,0,0,8
1748215975856350615,0,0,8
1748215975877312167,0,0,8
1748215975898347501,0,0,8
1748215975919265056,0,0,8
1748215975940098844,0,0,8
1748215975961078613,0,0,8
1748215975982053970,0,0,8
1748215976002937715,0,0,8
1748215976023773845,0,0,8
1748215976044758331,0,0,7
1748215976065865920,0,0,8
1748215976086838511,0,0,8
1748215976107714143,0,0,8
1748215976128656421,0,0,7
1748215976149795815,0,0,8
1748215976170925631,0,0,8
1748215976195629588,0,0,7
1748215976216413228,0,0,7
1748215976237511475,0,0,8
1748215976258508387,0,0,7
1748215976279480662,0,0,7
1748215976300578492,0,0,8
1748215976321493487,0,0,8
1748215976342586718,0,0,8
1748215976363662005,0,0,8
1748215976384645878,0,0,8
1748215976405722431,0,0,8
1748215976426554394,0,0,8
1748215976447664065,0,0,8
1748215976467874957,0,0,8
1748215976489447348,0,0,7
1748215976510366359,0,0,8
1748215976536156441,0,0,8
1748215976556904200,0,0,7
1748215976578023635,0,0,8
1748215976598937905,0,0,8
1748215976619954752,0,0,8
1748215976641099985,0,0,8
1748215976661925648,0,0,8
1748215976682918350,0,0,8
1748215976703981376,0,0,7
1748215976724960925,0,0,8
1748215976745772267,0,0,8
1748215976766779525,0,0,8
1748215976787658342,0,0,8
1748215976808721617,0,0,7
1748215976829523466,0,0,8
1748215976850499763,0,0,8
1748215976875407451,0,0,7
1748215976896449933,0,0,8
1748215976917484734,0,0,8
1748215976938352060,0,0,8
1748215976959326373,0,0,8
1748215976980134921,0,0,8
1748215977001233465,0,0,8
1748215977022187496,0,0,8
1748215977042860633,0,0,7
1748215977064163985,0,0,7
1748215977085226323,0,0,8
1748215977106233878,0,0,8
1748215977127143773,0,0,8
1748215977148032744,0,0,7
1748215977168953355,0,0,8
1748215977189668485,0,0,8
1748215977214954722,0,0,8
1748215977235921700,0,0,7
1748215977256621928,0,0,8
1748215977277604425,0,0,8
1748215977298382259,0,0,7
1748215977319305484,0,0,7
1748215977340236525,0,0,8
1748215977361371357,0,0,7
1748215977382436006,0,0,8
1748215977403469373,0,0,8
1748215977424315377,0,0,8
1748215977445407525,0,0,7
1748215977466405687,0,0,8
1748215977487416681,0,0,8
1748215977508502985,0,0,8
1748215977529434191,0,0,7
1748215977550113796,0,0,7
1748215977575311287,0,0,7
1748215977596349624,0,0,7
1748215977617371943,0,0,8
1748215977638299571,0,0,8
1748215977659336921,0,0,8
1748215977680153225,0,0,8
1748215977701391703,0,0,8
1748215977722217196,0,0,8
1748215977743046137,0,0,8
1748215977764112823,0,0,8
1748215977784778383,0,0,8
1748215977806093740,0,0,7
1748215977827012333,0,0,7
1748215977847929538,0,0,7
1748215977868878413,0,0,8
1748215977889727623,0,0,8
1748215977914611397,0,0,8
1748215977935645092,0,0,8
1748215977956530250,0,0,8
1748215977977407602,0,0,8
1748215977998569328,0,0,8
1748215978019538124,0,0,8
1748215978040362981,0,0,8
1748215978061300284,0,0,8
1748215978082858473,0,0,8
1748215978103696490,0,0,8
1748215978124700038,0,0,8
1748215978145511268,0,0,8
1748215978166457532,0,0,8
1748215978187327753,0,0,7
1748215978208607991,0,0,7
1748215978229368884,0,0,8
1748215978250062563,0,0,8
1748215978275175716,0,0,8
1748215978296379469,0,0,8
1748215978317224258,0,0,8
1748215978338072897,0,0,8
1748215978358741826,0,0,7
1748215978379850335,0,0,8
1748215978400934315,0,0,8
1748215978422039417,0,0,8
1748215978442944726,0,0,8
1748215978463628932,0,0,7
1748215978484777943,0,0,8
1748215978505623199,0,0,8
1748215978526750388,0,0,8
1748215978547624512,0,0,7
1748215978568472983,0,0,8
1748215978589323542,0,0,8
1748215978610315013,0,0,8
1748215978635281893,0,0,8
1748215978656145903,0,0,8
1748215978677238269,0,0,8
1748215978698405129,0,0,8
1748215978719368298,0,0,8
1748215978740213471,0,0,8
1748215978761265894,0,0,7
1748215978782148423,0,0,8
1748215978803378978,0,0,8
1748215978824387614,0,0,8
1748215978845301074,0,0,7
1748215978866164561,0,0,8
1748215978887115640,0,0,8
1748215978908311175,0,0,8
1748215978930194079,0,0,7
1748215978950904111,0,0,8
1748215978975844417,0,0,8
1748215978996629103,0,0,8
1748215979017816753,0,0,8
1748215979038782367,0,0,8
1748215979059308606,0,0,8
1748215979080548254,0,0,8
1748215979101478794,0,0,8
1748215979122478559,0,0,7
1748215979143609753,0,0,8
1748215979164535412,0,0,8
1748215979185309711,0,0,7
1748215979206584299,0,0,7
1748215979227423084,0,0,8
1748215979248446723,0,0,8
1748215979269138290,0,0,8
1748215979290157871,0,0,8
1748215979315263456,0,0,7
1748215979336153586,0,0,7
1748215979357055285,0,0,8
1748215979378080879,0,0,7
1748215979399171916,0,0,7
1748215979420299257,0,0,8
1748215979441058492,0,0,8
1748215979461959644,0,0,7
1748215979483107535,0,0,8
1748215979503943420,0,0,8
1748215979524654746,0,0,7
1748215979545640878,0,0,8
1748215979566691314,0,0,7
1748215979587606866,0,0,8
1748215979608521642,0,0,8
1748215979629879347,0,0,8
1748215979650648886,0,0,8
1748215979676506308,0,0,8
1748215979697441233,0,0,8
1748215979718673512,0,-7,8
1748215979739378826,0,-8,8
1748215979760339637,0,-8,7
1748215979781290715,0,-8,8
1748215979802250515,0,-10,7
1748215979823294470,0,-10,7
1748215979844423394,0,-9,8
1748215979865319193,0,-10,8
1748215979886036276,0,-9,8
1748215979907334673,0,-10,8
1748215979928497729,0,-10,8
1748215979949287859,0,-10,8
1748215979969949656,0,-9,8
1748215979995151812,0,-10,8
1748215980016431012,0,-10,8
1748215980036989399,0,-10,8
