%time,field.layout.data_offset,field.data0,field.data1
1748224714746586288,0,181,-4284
1748224714767761627,0,181,-4284
1748224714788471479,0,181,-4284
1748224714809615676,0,181,-4284
1748224714830392233,0,181,-4284
1748224714851502431,0,181,-4284
1748224714872602916,0,181,-4284
1748224714893348914,0,181,-4284
1748224714919610859,0,181,-4284
1748224714940292945,0,181,-4284
1748224714961125088,0,181,-4284
1748224714982335352,0,181,-4284
1748224715003009082,0,181,-4284
1748224715024166700,0,181,-4284
1748224715044996301,0,181,-4284
1748224715065806092,0,181,-4284
1748224715086936027,0,181,-4284
1748224715107924630,0,181,-4283
1748224715128742638,0,181,-4284
1748224715149828782,0,181,-4284
1748224715170825684,0,181,-4284
1748224715192284264,0,181,-4284
1748224715212989456,0,181,-4284
1748224715233937597,0,181,-4284
1748224715259633475,0,181,-4284
1748224715280613602,0,181,-4284
1748224715301675242,0,181,-4284
1748224715322695302,0,181,-4284
1748224715343657100,0,181,-4284
1748224715364416164,0,181,-4284
1748224715385352106,0,181,-4284
1748224715406419551,0,181,-4284
1748224715427450185,0,181,-4284
1748224715448392547,0,181,-4284
1748224715469599523,0,181,-4284
1748224715490523354,0,181,-4284
1748224715511239701,0,181,-4284
1748224715531870192,0,181,-4284
1748224715552925770,0,181,-4284
1748224715578023710,0,181,-4284
1748224715599087151,0,181,-4284
1748224715620164928,0,181,-4284
1748224715641492110,0,181,-4284
1748224715662142447,0,181,-4284
1748224715683102108,0,181,-4284
1748224715704243781,0,181,-4284
1748224715725265404,0,181,-4284
1748224715745972270,0,180,-4284
1748224715767139881,0,181,-4284
1748224715789079550,0,181,-4284
1748224715810164837,0,181,-4284
1748224715832250024,0,181,-4284
1748224715854337271,0,181,-4284
1748224715879848538,0,181,-4284
1748224715900751094,0,181,-4284
1748224715921754373,0,181,-4284
1748224715942750409,0,181,-4284
1748224715964695716,0,181,-4284
1748224715985983493,0,181,-4284
1748224716007203664,0,181,-4284
1748224716029014680,0,181,-4284
1748224716050529960,0,181,-4284
1748224716071706046,0,181,-4284
1748224716093598317,0,181,-4284
1748224716115432747,0,181,-4284
1748224716141542406,0,181,-4284
1748224716163580602,0,181,-4284
1748224716184718455,0,181,-4284
1748224716206371320,0,181,-4284
1748224716227381981,0,181,-4284
1748224716248521773,0,181,-4284
1748224716269244544,0,181,-4284
1748224716291256802,0,181,-4284
1748224716312477971,0,181,-4284
1748224716333950017,0,181,-4284
1748224716360197973,0,181,-4284
1748224716382054239,0,181,-4284
1748224716403041431,0,181,-4284
1748224716424992636,0,181,-4284
1748224716445988293,0,181,-4284
1748224716466649807,0,181,-4284
1748224716487600172,0,181,-4284
1748224716508547478,0,181,-4284
1748224716529578620,0,181,-4284
1748224716550166664,0,181,-4283
1748224716571561126,0,181,-4284
1748224716592398584,0,181,-4284
1748224716613405264,0,181,-4284
1748224716639141339,0,181,-4284
1748224716660174827,0,181,-4284
1748224716681286683,0,181,-4283
1748224716702178369,0,181,-4284
1748224716723165071,0,181,-4284
1748224716744075384,0,181,-4284
1748224716764917875,0,181,-4284
1748224716786173084,0,181,-4284
1748224716806864422,0,181,-4284
1748224716827751251,0,181,-4284
1748224716848763707,0,180,-4284
1748224716869919830,0,181,-4284
1748224716890913802,0,181,-4284
1748224716911679692,0,181,-4284
1748224716932857820,0,181,-4284
1748224716953448347,0,181,-4284
1748224716978396003,0,181,-4284
1748224716999690263,0,181,-4284
1748224717020472302,0,181,-4284
1748224717041661934,0,181,-4284
1748224717062569747,0,181,-4284
1748224717083590169,0,180,-4284
1748224717104358739,0,181,-4284
1748224717125407851,0,181,-4284
1748224717146392588,0,181,-4284
1748224717167389688,0,181,-4284
1748224717188428180,0,181,-4284
1748224717209112158,0,181,-4284
1748224717230129024,0,181,-4284
1748224717251050942,0,181,-4284
1748224717271978817,0,181,-4284
1748224717292899593,0,181,-4284
1748224717317714191,0,181,-4284
1748224717339215392,0,181,-4284
1748224717359677830,0,181,-4284
1748224717380778833,0,181,-4284
1748224717401820653,0,181,-4284
