%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1750041701725594421,0,11607,111,-510,-2034
1750041701727618329,0,11607,111,-510,-2034
1750041701729501859,0,11607,111,-510,-2034
1750041701731516254,0,11607,111,-510,-2034
1750041701733454716,0,11607,111,-511,-2034
1750041701735567010,0,11607,111,-511,-2034
1750041701737506284,0,11607,111,-511,-2034
1750041701739479776,0,11607,111,-511,-2034
1750041701741450322,0,11607,110,-511,-2034
1750041701743481127,0,11607,110,-511,-2034
1750041701745477488,0,11607,110,-511,-2034
1750041701747511159,0,11607,110,-510,-2034
1750041701749537419,0,11607,110,-510,-2034
1750041701751480147,0,11607,110,-510,-2034
1750041701753550605,0,11607,110,-510,-2034
1750041701755584259,0,11607,110,-510,-2034
1750041701757591421,0,11607,110,-510,-2034
1750041701759644906,0,11607,110,-510,-2034
1750041701761574351,0,11607,110,-510,-2034
1750041701763553403,0,11607,110,-510,-2034
1750041701765626419,0,11607,110,-510,-2034
1750041701767546679,0,11607,110,-510,-2034
1750041701769583601,0,11607,110,-510,-2034
1750041701771533575,0,11607,110,-510,-2034
1750041701773603984,0,11607,110,-510,-2034
1750041701775562970,0,11607,110,-510,-2034
1750041701777647966,0,11607,110,-510,-2034
1750041701779556621,0,11607,110,-510,-2034
1750041701781590422,0,11606,110,-510,-2034
1750041701783534933,0,11607,110,-511,-2034
1750041701785589335,0,11607,110,-510,-2034
1750041701787560860,0,11607,110,-510,-2034
1750041701789462867,0,11607,110,-510,-2034
1750041701791460445,0,11607,110,-510,-2034
1750041701793542523,0,11607,110,-511,-2034
1750041701795508478,0,11607,110,-510,-2034
1750041701797562350,0,11607,110,-510,-2034
1750041701799448206,0,11607,110,-510,-2034
1750041701801624647,0,11607,110,-511,-2034
1750041701803425830,0,11607,110,-511,-2034
1750041701805430093,0,11607,110,-510,-2034
1750041701807401086,0,11606,110,-511,-2034
1750041701809413994,0,11606,110,-510,-2034
1750041701811373267,0,11606,110,-511,-2034
1750041701813405249,0,11606,110,-510,-2034
1750041701815275451,0,11606,110,-511,-2034
1750041701817393730,0,11607,110,-511,-2034
1750041701819349723,0,11606,110,-510,-2034
1750041701821318476,0,11606,110,-510,-2034
1750041701823355894,0,11606,110,-511,-2034
1750041701825351858,0,11606,110,-511,-2034
1750041701827343291,0,11606,110,-511,-2034
1750041701829355330,0,11606,110,-510,-2034
1750041701831328311,0,11606,110,-511,-2034
1750041701833368139,0,11606,110,-511,-2034
1750041701835331967,0,11606,110,-510,-2034
1750041701837304806,0,11606,110,-510,-2034
1750041701839308550,0,11606,110,-511,-2034
1750041701841381919,0,11606,110,-511,-2034
1750041701843315906,0,11606,110,-510,-2034
1750041701845269371,0,11605,110,-511,-2034
1750041701847315028,0,11605,110,-510,-2034
1750041701849437929,0,11605,110,-510,-2034
1750041701851326636,0,11605,110,-510,-2034
1750041701853405690,0,11605,110,-509,-2034
1750041701855353122,0,11604,110,-509,-2034
1750041701857329577,0,11604,110,-509,-2034
1750041701859319217,0,11604,110,-509,-2034
1750041701861275914,0,11604,110,-509,-2034
1750041701863322066,0,11604,110,-509,-2034
1750041701865221207,0,11604,110,-508,-2034
1750041701867344601,0,11604,110,-509,-2034
1750041701869255943,0,11604,110,-508,-2034
1750041701871208318,0,11604,110,-508,-2034
1750041701873252727,0,11604,110,-508,-2034
1750041701875205226,0,11604,110,-508,-2034
1750041701877266862,0,11604,110,-508,-2034
1750041701879271458,0,11604,110,-508,-2034
1750041701881252909,0,11605,110,-508,-2034
1750041701883287316,0,11604,110,-508,-2034
1750041701885226796,0,11604,110,-508,-2034
1750041701887195579,0,11604,110,-508,-2034
1750041701889265747,0,11604,110,-508,-2034
1750041701891232225,0,11604,110,-508,-2034
1750041701893198053,0,11604,110,-508,-2034
1750041701895229250,0,11604,110,-508,-2034
1750041701897194259,0,11604,110,-508,-2034
1750041701899198360,0,11604,110,-508,-2034
1750041701901154683,0,11604,110,-509,-2034
1750041701903246287,0,11604,110,-509,-2034
1750041701905200642,0,11604,110,-508,-2034
1750041701907139475,0,11604,110,-508,-2034
1750041701909178445,0,11604,110,-508,-2034
1750041701911177442,0,11604,110,-508,-2034
1750041701913158577,0,11604,110,-508,-2034
1750041701915134143,0,11604,110,-508,-2034
1750041701917187887,0,11604,110,-508,-2034
1750041701919156438,0,11604,110,-508,-2034
1750041701921142133,0,11604,110,-508,-2034
1750041701923114409,0,11604,110,-508,-2034
1750041701925108576,0,11604,110,-508,-2034
1750041701927146013,0,11604,110,-508,-2034
1750041701929143091,0,11604,110,-508,-2034
1750041701931095013,0,11604,110,-509,-2034
1750041701933113247,0,11604,110,-508,-2034
1750041701935102998,0,11604,110,-508,-2034
1750041701937090809,0,11604,110,-508,-2034
1750041701939087727,0,11604,110,-508,-2034
1750041701941123269,0,11604,110,-508,-2034
1750041701943130959,0,11604,110,-508,-2034
1750041701945110392,0,11604,110,-508,-2034
1750041701947173299,0,11604,110,-508,-2034
1750041701949103480,0,11604,110,-508,-2034
1750041701951117257,0,11604,110,-509,-2034
1750041701953117177,0,11604,110,-508,-2034
1750041701955104221,0,11604,110,-508,-2034
1750041701957042724,0,11604,110,-509,-2034
1750041701959096089,0,11604,110,-508,-2034
1750041701961028892,0,11604,110,-508,-2034
1750041701963170465,0,11604,110,-508,-2034
1750041701965055338,0,11604,110,-508,-2034
1750041701967123910,0,11604,110,-509,-2034
1750041701969056450,0,11604,110,-509,-2034
1750041701971151733,0,11604,110,-509,-2034
1750041701973069603,0,11604,110,-510,-2034
1750041701975054259,0,11604,110,-510,-2034
1750041701977136278,0,11604,110,-511,-2034
1750041701979028255,0,11604,110,-511,-2034
1750041701981027020,0,11604,110,-511,-2034
1750041701983059032,0,11603,110,-511,-2034
1750041701985038619,0,11604,110,-512,-2034
1750041701987140168,0,11603,110,-512,-2034
1750041701989127580,0,11604,110,-512,-2034
1750041701991115684,0,11604,110,-512,-2034
1750041701993059891,0,11604,110,-513,-2034
1750041701995076273,0,11604,110,-513,-2034
1750041701997048637,0,11604,110,-513,-2034
1750041701999089556,0,11603,110,-513,-2034
1750041702001060006,0,11603,110,-513,-2034
1750041702003060682,0,11603,110,-513,-2034
1750041702005021342,0,11604,110,-513,-2034
1750041702007041982,0,11603,110,-513,-2034
1750041702008994436,0,11604,110,-513,-2034
1750041702010942561,0,11603,110,-513,-2034
1750041702012998617,0,11603,110,-513,-2034
1750041702014974765,0,11603,110,-514,-2035
1750041702016966392,0,11603,110,-513,-2035
1750041702018973559,0,11603,110,-513,-2035
1750041702020945438,0,11602,110,-513,-2035
1750041702022956679,0,11602,110,-513,-2035
1750041702024979912,0,11602,110,-513,-2036
1750041702026945853,0,11602,110,-513,-2036
1750041702028969357,0,11602,110,-513,-2036
1750041702030966034,0,11602,110,-513,-2036
1750041702032958388,0,11602,110,-513,-2036
1750041702034959961,0,11602,110,-513,-2036
1750041702036968563,0,11602,110,-513,-2036
1750041702038977382,0,11602,110,-513,-2036
1750041702040939059,0,11602,110,-513,-2036
1750041702042944027,0,11602,110,-513,-2036
1750041702044964529,0,11602,110,-513,-2036
1750041702047014067,0,11602,110,-513,-2036
1750041702048912559,0,11602,110,-513,-2036
1750041702051007555,0,11602,110,-513,-2036
1750041702052923329,0,11602,110,-513,-2036
1750041702054971551,0,11602,110,-513,-2036
1750041702056926782,0,11602,110,-513,-2036
1750041702058921639,0,11602,110,-514,-2036
1750041702060904729,0,11602,110,-513,-2036
1750041702062878993,0,11602,109,-513,-2036
1750041702064870410,0,11602,109,-513,-2036
1750041702066838349,0,11602,109,-513,-2036
1750041702068825273,0,11602,109,-513,-2036
1750041702070870143,0,11602,109,-513,-2036
1750041702072895020,0,11602,109,-513,-2036
1750041702074893999,0,11602,109,-513,-2036
1750041702076875185,0,11602,109,-513,-2036
1750041702078901301,0,11602,109,-513,-2036
1750041702080815002,0,11602,109,-513,-2036
1750041702082812592,0,11602,109,-513,-2036
1750041702084813545,0,11602,109,-513,-2036
1750041702086921617,0,11602,109,-513,-2036
1750041702088881656,0,11602,109,-513,-2036
1750041702090828846,0,11602,109,-513,-2036
1750041702092856735,0,11602,109,-512,-2036
1750041702094880515,0,11602,109,-512,-2036
1750041702096829306,0,11602,109,-512,-2036
1750041702098845276,0,11602,109,-512,-2036
1750041702100844423,0,11602,109,-512,-2036
1750041702102844948,0,11602,109,-512,-2036
1750041702104818062,0,11602,109,-513,-2036
1750041702106832531,0,11602,109,-513,-2036
1750041702108797392,0,11602,109,-513,-2036
1750041702110837434,0,11602,109,-513,-2036
1750041702112794097,0,11602,109,-513,-2036
1750041702114809325,0,11602,109,-513,-2036
1750041702116793961,0,11602,109,-513,-2036
1750041702118813025,0,11602,109,-513,-2036
1750041702120768085,0,11602,109,-513,-2036
1750041702122762855,0,11602,109,-513,-2036
1750041702124703817,0,11602,109,-513,-2036
1750041702126744748,0,11602,109,-513,-2036
1750041702128789908,0,11602,109,-513,-2036
1750041702130743175,0,11602,109,-513,-2036
1750041702132823248,0,11602,109,-513,-2036
1750041702134788715,0,11602,109,-513,-2036
1750041702136768922,0,11602,109,-513,-2036
1750041702138788619,0,11602,109,-513,-2036
1750041702140803034,0,11602,109,-513,-2036
1750041702142863907,0,11602,109,-513,-2036
1750041702144797620,0,11602,109,-513,-2036
1750041702146812403,0,11602,109,-513,-2036
1750041702148887151,0,11601,109,-513,-2036
1750041702150735799,0,11601,109,-513,-2036
1750041702152708913,0,11601,109,-513,-2036
1750041702154780159,0,11601,109,-513,-2036
1750041702156804301,0,11602,109,-513,-2036
1750041702158715583,0,11601,109,-513,-2036
1750041702160835617,0,11601,109,-513,-2036
1750041702162747493,0,11601,109,-513,-2036
1750041702164776851,0,11601,109,-513,-2036
1750041702166750410,0,11601,109,-513,-2036
1750041702168728819,0,11601,109,-513,-2036
1750041702170740759,0,11601,109,-513,-2036
1750041702172776372,0,11601,109,-513,-2036
1750041702174744473,0,11601,109,-513,-2036
1750041702176772072,0,11601,109,-513,-2036
1750041702178667568,0,11601,109,-513,-2036
1750041702180703396,0,11601,109,-513,-2036
1750041702182699991,0,11601,109,-513,-2036
1750041702184690657,0,11602,109,-513,-2036
1750041702186668679,0,11601,109,-513,-2036
1750041702188743571,0,11601,109,-513,-2036
1750041702190670620,0,11601,109,-512,-2036
1750041702192743114,0,11601,109,-512,-2036
1750041702194765715,0,11601,109,-512,-2036
1750041702196637056,0,11601,109,-513,-2036
1750041702198598877,0,11601,109,-513,-2036
1750041702200644970,0,11601,109,-513,-2036
1750041702202684206,0,11601,109,-513,-2036
1750041702204622680,0,11601,109,-513,-2036
1750041702206603182,0,11601,109,-513,-2036
1750041702208630173,0,11601,109,-512,-2036
1750041702210608436,0,11602,109,-513,-2036
1750041702212633378,0,11602,109,-512,-2036
1750041702214644614,0,11601,109,-512,-2036
1750041702216620207,0,11601,109,-513,-2036
1750041702218642318,0,11602,109,-513,-2036
1750041702220741524,0,11601,109,-513,-2036
1750041702222621069,0,11601,109,-513,-2036
1750041702224633584,0,11601,109,-513,-2036
1750041702226585814,0,11601,109,-513,-2036
1750041702228600551,0,11601,109,-513,-2036
1750041702230577251,0,11601,109,-513,-2036
1750041702232695513,0,11601,109,-513,-2036
1750041702234563313,0,11601,109,-513,-2036
1750041702236539436,0,11601,109,-513,-2036
1750041702238528955,0,11601,109,-513,-2036
1750041702240491073,0,11601,109,-512,-2036
1750041702242536339,0,11601,109,-512,-2036
1750041702244550243,0,11601,109,-512,-2036
1750041702246528961,0,11601,109,-512,-2036
