%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1751424998398589366,0,-3355,-1275,4427,9758,527,-4016,5604,2216
1751424998400523915,0,-3354,-1276,4427,9758,526,-4015,5604,2216
1751424998402452830,0,-3354,-1288,4427,9758,526,-4015,5604,2216
1751424998404390141,0,-3354,-1288,4427,9758,526,-4015,5604,2216
1751424998406368409,0,-3353,-1288,4384,9758,526,-4015,5604,2216
1751424998408341952,0,-3353,-1288,4383,9758,526,-4015,5604,2216
1751424998410400713,0,-3353,-1285,4427,9758,526,-4015,5604,2216
1751424998412441487,0,-3353,-1285,4427,9758,526,-4015,5604,2216
1751424998414426955,0,-3352,-1290,4427,9758,525,-4014,5604,2216
1751424998416404254,0,-3352,-1290,4427,9758,525,-4014,5604,2216
1751424998418404483,0,-3348,-1287,4427,9758,526,-4015,5604,2216
1751424998420410856,0,-3348,-1288,4427,9758,525,-4014,5604,2216
1751424998422399235,0,-3352,-1287,4427,9758,526,-4015,5604,2216
1751424998424646544,0,-3352,-1287,4427,9758,526,-4015,5604,2216
1751424998426393504,0,-3353,-1287,4427,9758,526,-4015,5604,2216
1751424998428434793,0,-3353,-1287,4427,9758,526,-4015,5604,2216
1751424998430403763,0,-3352,-1287,4427,9758,526,-4015,5604,2216
1751424998432551370,0,-3353,-1287,4427,9758,526,-4015,5604,2216
1751424998434472919,0,-3349,-1287,4427,9758,526,-4015,5604,2216
1751424998436384646,0,-3350,-1287,4427,9758,526,-4015,5604,2216
1751424998438368006,0,-3350,-1289,4427,9758,526,-4015,5604,2216
1751424998440372081,0,-3350,-1289,4427,9758,526,-4015,5604,2216
1751424998442377387,0,-3350,-1287,4427,9758,526,-4015,5604,2216
1751424998444358423,0,-3350,-1287,4427,9758,526,-4015,5604,2216
1751424998446354625,0,-3339,-1297,4427,9758,526,-4015,5604,2216
1751424998448366560,0,-3339,-1297,4427,9758,526,-4015,5604,2216
1751424998450392273,0,-3350,-1287,4427,9758,526,-4015,5604,2216
1751424998452375174,0,-3351,-1287,4427,9758,527,-4016,5604,2216
1751424998454411090,0,-3351,-1284,4427,9758,527,-4016,5604,2216
1751424998456415081,0,-3351,-1283,4427,9758,527,-4016,5604,2216
1751424998458370854,0,-3340,-1298,4427,9759,527,-4016,5604,2216
1751424998460394143,0,-3340,-1298,4427,9759,527,-4016,5604,2216
1751424998462421592,0,-3350,-1287,4437,9737,526,-4015,5604,2216
1751424998464416050,0,-3351,-1286,4437,9737,527,-4016,5604,2216
1751424998466425713,0,-3351,-1288,4427,9759,527,-4016,5604,2216
1751424998468405564,0,-3351,-1289,4427,9759,527,-4016,5604,2216
1751424998470403519,0,-3351,-1287,4427,9759,527,-4016,5604,2216
1751424998472391500,0,-3351,-1287,4427,9759,527,-4016,5604,2216
1751424998474377075,0,-3339,-1255,4427,9760,527,-4016,5605,2215
1751424998476385327,0,-3338,-1255,4427,9760,527,-4016,5605,2215
1751424998478383015,0,-3353,-1288,4515,9760,527,-4016,5605,2215
1751424998480406258,0,-3354,-1288,4515,9760,527,-4016,5605,2215
1751424998482402622,0,-3354,-1288,4515,9760,527,-4016,5605,2215
1751424998484444094,0,-3351,-1288,4428,9760,527,-4016,5605,2215
1751424998486422664,0,-3350,-1288,4428,9760,527,-4016,5605,2215
1751424998488394928,0,-3354,-1285,4428,9760,527,-4016,5605,2215
1751424998490582354,0,-3354,-1285,4428,9760,527,-4016,5605,2215
1751424998492384270,0,-3332,-1298,4429,9760,527,-4016,5604,2216
1751424998494372133,0,-3332,-1298,4429,9760,527,-4016,5604,2216
1751424998496360770,0,-3354,-1191,4430,9760,527,-4016,5604,2216
1751424998498377392,0,-3354,-1191,4430,9760,527,-4016,5604,2216
1751424998500388564,0,-3351,-1287,4430,9760,527,-4016,5604,2216
1751424998502410455,0,-3350,-1287,4430,9761,527,-4016,5604,2216
1751424998504351442,0,-3351,-1287,4430,9761,527,-4016,5604,2216
1751424998506385805,0,-3351,-1287,4430,9761,527,-4016,5604,2216
1751424998508355718,0,-3354,-1287,4430,9761,527,-4016,5604,2216
1751424998510354907,0,-3354,-1287,4430,9761,527,-4016,5604,2216
1751424998512404169,0,-3354,-1286,4431,9761,528,-4017,5603,2217
1751424998514426018,0,-3354,-1286,4431,9762,528,-4017,5604,2216
1751424998516410597,0,-3341,-1300,4431,9761,528,-4017,5603,2217
1751424998518409426,0,-3341,-1299,4431,9762,528,-4017,5604,2216
1751424998520393361,0,-3347,-1299,4431,9762,528,-4017,5604,2216
1751424998522428351,0,-3347,-1299,4431,9762,528,-4017,5604,2216
1751424998524417239,0,-3344,-1299,4431,9762,528,-4017,5604,2216
