%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1751948102258563912,0,-3486,-5294,8573,6098,-3669,-13,1762,10301
1751948102260335231,0,-3486,-5294,8573,6098,-3669,-13,1762,10301
1751948102262345068,0,-3487,-5294,8573,6097,-3669,-13,1762,10301
1751948102264329916,0,-3487,-5294,8573,6097,-3670,-14,1762,10301
1751948102266333162,0,-3487,-5294,8573,6097,-3670,-13,1761,10301
1751948102268363229,0,-3487,-5294,8573,6097,-3670,-13,1762,10301
1751948102270386190,0,-3487,-5294,8573,6097,-3670,-13,1762,10301
1751948102272345090,0,-3488,-5294,8573,6097,-3669,-13,1761,10301
1751948102274406414,0,-3488,-5294,8573,6096,-3670,-13,1761,10301
1751948102276397001,0,-3488,-5294,8573,6096,-3670,-14,1761,10301
1751948102278370071,0,-3488,-5294,8573,6096,-3670,-14,1761,10301
1751948102280341410,0,-3489,-5294,8573,6095,-3669,-13,1761,10301
1751948102282332662,0,-3489,-5294,8573,6095,-3669,-14,1761,10301
1751948102284328983,0,-3489,-5294,8573,6095,-3669,-13,1761,10301
1751948102286379893,0,-3489,-5294,8573,6095,-3669,-14,1761,10301
1751948102288368468,0,-3489,-5294,8573,6095,-3669,-14,1760,10301
1751948102290335901,0,-3490,-5294,8573,6095,-3669,-14,1760,10301
1751948102292454293,0,-3490,-5294,8572,6095,-3669,-13,1760,10301
1751948102294412222,0,-3490,-5295,8572,6095,-3669,-14,1760,10301
1751948102296435988,0,-3490,-5295,8572,6094,-3669,-14,1760,10301
1751948102298422538,0,-3490,-5295,8572,6095,-3669,-13,1760,10301
1751948102300340861,0,-3490,-5295,8573,6094,-3669,-14,1760,10301
1751948102302329905,0,-3490,-5295,8573,6094,-3669,-14,1759,10301
1751948102304346484,0,-3490,-5295,8573,6094,-3669,-14,1759,10301
1751948102306349577,0,-3490,-5295,8572,6094,-3669,-14,1759,10301
1751948102308324647,0,-3490,-5295,8572,6095,-3670,-14,1759,10301
1751948102310368206,0,-3490,-5294,8572,6095,-3669,-14,1759,10301
1751948102312387594,0,-3490,-5295,8572,6095,-3669,-14,1758,10301
1751948102314350823,0,-3490,-5294,8572,6095,-3669,-14,1759,10301
1751948102316290889,0,-3490,-5294,8573,6095,-3669,-14,1758,10301
1751948102318337825,0,-3490,-5294,8573,6096,-3669,-13,1758,10301
1751948102320314821,0,-3490,-5294,8573,6096,-3670,-14,1758,10301
1751948102322330517,0,-3490,-5293,8573,6096,-3669,-13,1758,10301
1751948102324281260,0,-3490,-5293,8573,6096,-3669,-13,1758,10301
1751948102326404639,0,-3490,-5292,8573,6097,-3670,-14,1758,10301
1751948102328316166,0,-3490,-5292,8574,6097,-3669,-14,1758,10301
1751948102330340633,0,-3490,-5292,8573,6097,-3670,-13,1758,10301
1751948102332352621,0,-3490,-5292,8574,6097,-3670,-14,1758,10301
1751948102334330909,0,-3490,-5292,8573,6097,-3669,-14,1758,10301
1751948102336320708,0,-3490,-5292,8573,6097,-3669,-14,1758,10301
1751948102338328849,0,-3490,-5291,8573,6097,-3669,-14,1758,10301
1751948102340368341,0,-3490,-5291,8574,6097,-3669,-14,1758,10301
1751948102342359314,0,-3490,-5291,8574,6097,-3669,-14,1758,10301
1751948102344299961,0,-3491,-5291,8574,6097,-3670,-13,1758,10301
1751948102346248641,0,-3491,-5291,8574,6097,-3669,-14,1758,10301
1751948102348289629,0,-3491,-5291,8573,6096,-3669,-14,1758,10301
1751948102350320598,0,-3491,-5291,8573,6096,-3670,-13,1758,10301
1751948102352325932,0,-3491,-5291,8573,6096,-3670,-14,1758,10301
1751948102354359244,0,-3491,-5291,8573,6096,-3669,-14,1758,10301
1751948102356320716,0,-3491,-5291,8573,6095,-3669,-14,1758,10301
1751948102358349637,0,-3491,-5291,8572,6095,-3669,-14,1758,10301
