%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1752310302539950848,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302541889067,0,-16064,-3703,11507,9906,-4077,-9051,1542,14759
1752310302543901852,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302545934799,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302547897863,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302549932557,0,-16064,-3703,11507,9905,-4077,-9051,1542,14759
1752310302551911991,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302553914473,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302555926759,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302557913269,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302559953554,0,-16064,-3702,11507,9905,-4078,-9051,1542,14759
1752310302562046077,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302563873131,0,-16064,-3703,11507,9905,-4077,-9051,1542,14759
1752310302565877648,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302568114635,0,-16064,-3703,11507,9906,-4077,-9051,1542,14760
1752310302569906608,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302571823080,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302573931032,0,-16064,-3703,11507,9906,-4077,-9051,1542,14760
1752310302575857625,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302578007164,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302579897404,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302581867624,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302583899207,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302585861110,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302587773772,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302589774263,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302591813289,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302593791913,0,-16064,-3703,11507,9905,-4077,-9051,1542,14759
1752310302595887244,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302597838534,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302599867434,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302601849547,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302603764208,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302605836206,0,-16064,-3703,11507,9905,-4078,-9051,1542,14760
1752310302607821336,0,-16064,-3703,11507,9905,-4077,-9051,1542,14759
1752310302609789592,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302611824740,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302613844056,0,-16064,-3703,11507,9906,-4077,-9051,1542,14760
1752310302615791600,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302617818189,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302619931070,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302621799915,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302623797828,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302625754480,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302627756364,0,-16064,-3702,11507,9906,-4077,-9051,1542,14760
1752310302629812730,0,-16064,-3703,11507,9905,-4078,-9051,1542,14760
1752310302631753282,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302633777471,0,-16064,-3702,11507,9905,-4077,-9051,1542,14759
1752310302635718266,0,-16064,-3703,11507,9906,-4077,-9051,1542,14760
1752310302637735897,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302639765229,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302641750173,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302643716342,0,-16064,-3703,11507,9906,-4077,-9051,1542,14759
1752310302645907412,0,-16064,-3703,11508,9905,-4077,-9051,1542,14760
1752310302647764977,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302649944343,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302651777435,0,-16064,-3703,11507,9905,-4077,-9051,1542,14759
1752310302653901247,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302655915683,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302658334236,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302659849411,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302661709413,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302663787579,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302665874093,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302667692974,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302669947308,0,-16064,-3702,11507,9905,-4077,-9051,1542,14759
1752310302671715170,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302673692123,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302675668871,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302677743893,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302679745563,0,-16064,-3703,11507,9906,-4077,-9051,1542,14760
1752310302681894876,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302683732626,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302685657252,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302687655356,0,-16064,-3702,11507,9905,-4077,-9051,1542,14760
1752310302689669958,0,-16064,-3703,11507,9905,-4077,-9051,1542,14759
1752310302691691788,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302693710687,0,-16064,-3703,11507,9905,-4077,-9051,1542,14759
1752310302695715791,0,-16064,-3703,11507,9905,-4077,-9051,1542,14759
1752310302697730473,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302699702620,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302701667788,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
1752310302703666892,0,-16064,-3703,11507,9905,-4077,-9051,1542,14760
