%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1752385680452878338,0,-8073,-5813,12734,22562,-3205,-12545,6161,2356
1752385680454842602,0,-8073,-5813,12733,22562,-3205,-12545,6161,2355
1752385680456967888,0,-8077,-5813,12739,22557,-3206,-12549,6161,2353
1752385680458834525,0,-8077,-5814,12738,22556,-3207,-12549,6160,2352
1752385680460891833,0,-8073,-5815,12751,22561,-3208,-12549,6160,2350
1752385680462807195,0,-8073,-5815,12750,22561,-3209,-12549,6160,2349
1752385680464922487,0,-8073,-5816,12748,22560,-3210,-12549,6159,2347
1752385680466862574,0,-8073,-5817,12747,22561,-3211,-12551,6159,2346
1752385680468867903,0,-8073,-5818,12745,22560,-3212,-12551,6158,2344
1752385680470831346,0,-8073,-5819,12756,22559,-3213,-12549,6158,2343
1752385680472816869,0,-8073,-5819,12754,22558,-3214,-12549,6157,2341
1752385680474919030,0,-8057,-5879,12776,22571,-3215,-12549,6156,2339
1752385680476914851,0,-8073,-5880,12774,22560,-3206,-12549,6156,2337
1752385680478909798,0,-8073,-5881,12772,22559,-3207,-12549,6155,2335
1752385680480819418,0,-8073,-5882,12771,22559,-3198,-12549,6155,2334
1752385680482844680,0,-8073,-5883,12769,22558,-3198,-12549,6154,2332
1752385680484828994,0,-8073,-5884,12768,22557,-3199,-12549,6153,2331
1752385680486882342,0,-8073,-5888,12766,22550,-3132,-12557,6153,2329
1752385680488896043,0,-8073,-5889,12766,22549,-3133,-12557,6152,2329
1752385680490852033,0,-8068,-5883,12764,22573,-3192,-12550,6151,2327
1752385680492820867,0,-8068,-5884,12764,22573,-3193,-12550,6151,2327
1752385680494846126,0,-8068,-5882,12763,22574,-3179,-12518,6150,2326
1752385680496840440,0,-8068,-5884,12763,22574,-3179,-12518,6150,2326
1752385680498860938,0,-8067,-5880,12763,22582,-3180,-12550,6149,2326
1752385680500898756,0,-8067,-5881,12763,22581,-3181,-12550,6148,2326
1752385680502906414,0,-8073,-5883,12763,22554,-3177,-12550,6148,2326
1752385680504886963,0,-8073,-5884,12763,22553,-3178,-12550,6147,2326
1752385680506872833,0,-8080,-5886,12763,22580,-3164,-12549,6146,2326
1752385680508889956,0,-8080,-5887,12764,22580,-3164,-12549,6146,2327
1752385680510898744,0,-8062,-5876,12764,22579,-3159,-12550,6145,2327
1752385680512874743,0,-8062,-5878,12765,22579,-3159,-12550,6145,2328
1752385680514891582,0,-8073,-5876,12765,22578,-3159,-12553,6144,2328
1752385680516842360,0,-8073,-5878,12766,22578,-3159,-12553,6144,2329
1752385680518829694,0,-8077,-5871,12767,22578,-3158,-12551,6144,2330
1752385680520887111,0,-8077,-5873,12767,22578,-3157,-12551,6144,2330
1752385680522821660,0,-8065,-5833,12768,22578,-3157,-12542,6144,2331
1752385680524861124,0,-8065,-5835,12768,22578,-3155,-12542,6144,2331
1752385680526824252,0,-8074,-5834,12769,22578,-3157,-12549,6144,2332
1752385680528860372,0,-8074,-5836,12770,22578,-3156,-12549,6144,2333
