%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1753067826545252898,0,235,282,220,203,230,209,221,244
1753067826545280213,0,234,279,221,203,229,211,218,244
1753067826545290680,0,236,283,217,189,230,211,220,245
1753067826545302874,0,235,283,220,203,229,211,220,245
1753067826545335673,0,235,283,221,203,229,211,220,245
1753067826548844775,0,235,261,221,203,229,212,220,244
1753067826548860009,0,235,283,221,203,229,211,221,245
1753067826548867087,0,223,281,220,204,229,210,196,245
1753067826548874710,0,236,283,220,203,229,210,220,244
1753067826552772130,0,234,278,220,203,230,218,223,248
1753067826552785300,0,235,283,221,203,230,209,217,244
1753067826552816695,0,235,283,221,204,229,211,220,245
1753067826552828065,0,238,288,220,204,221,211,219,244
1753067826552867992,0,236,283,221,203,229,211,222,243
1753067826556843905,0,236,282,220,203,237,212,222,244
1753067826556864406,0,236,283,221,204,229,211,221,244
1753067826556873735,0,236,283,220,204,230,206,220,244
1753067826556924527,0,235,282,221,203,228,211,220,244
1753067826560840509,0,234,282,220,203,229,211,221,249
1753067826560857220,0,243,282,220,203,229,211,219,243
1753067826560869095,0,235,283,219,203,236,212,221,244
1753067826560884254,0,235,282,220,203,230,207,220,244
1753067826564918738,0,235,282,220,204,229,211,221,244
1753067826564931475,0,235,282,220,166,229,211,220,245
1753067826564942803,0,236,282,220,203,230,211,217,244
1753067826564952891,0,236,281,220,203,227,211,221,244
1753067826564960472,0,236,284,219,203,228,211,221,244
1753067826568821608,0,235,282,219,203,229,211,216,244
1753067826568831394,0,235,283,220,204,229,223,220,240
1753067826568881149,0,237,282,220,203,229,211,220,244
1753067826568898553,0,234,282,220,203,229,211,219,244
1753067826572829379,0,235,282,222,203,228,212,220,244
1753067826572843008,0,235,283,219,203,229,211,221,244
1753067826572870862,0,235,282,220,204,229,211,220,244
1753067826572893202,0,234,283,219,202,229,211,220,244
1753067826576841019,0,236,282,220,203,229,212,218,244
1753067826576850958,0,235,282,220,203,229,211,220,244
1753067826576861674,0,235,282,225,203,228,211,219,245
1753067826576873282,0,236,283,219,203,229,215,220,245
1753067826576878314,0,236,281,220,202,229,211,220,249
1753067826581817510,0,236,282,219,203,228,211,220,244
1753067826581826561,0,235,282,218,203,228,227,219,244
1753067826581833930,0,235,282,219,202,228,212,220,244
1753067826581877305,0,235,282,219,204,228,212,221,243
1753067826585808850,0,235,282,219,202,228,211,220,244
1753067826585823999,0,229,283,222,203,228,210,225,243
1753067826585837033,0,235,282,219,203,227,211,221,244
1753067826585881727,0,235,281,219,212,229,211,221,259
1753067826589857387,0,214,282,218,203,229,212,220,243
1753067826589872826,0,235,282,219,203,228,211,220,243
1753067826589911411,0,230,283,220,200,231,211,221,238
1753067826589934868,0,235,286,219,203,229,211,221,244
1753067826589955723,0,235,281,220,203,229,212,219,244
1753067826593820813,0,234,282,220,203,228,212,220,244
1753067826593837482,0,235,282,220,203,228,211,220,242
1753067826593845090,0,233,282,220,201,221,207,220,244
1753067826593877867,0,237,282,220,204,229,211,220,244
1753067826597876770,0,235,282,220,203,228,211,221,244
1753067826597914230,0,234,281,219,203,227,211,222,245
1753067826597933415,0,236,282,219,203,229,208,220,232
1753067826597946888,0,236,284,223,202,227,211,220,244
1753067826601905201,0,234,281,220,203,228,210,220,244
1753067826601930738,0,234,282,220,202,228,211,221,241
1753067826601952340,0,234,282,220,203,228,211,220,243
1753067826601975167,0,234,282,219,203,227,211,222,246
1753067826601984727,0,236,283,221,203,226,211,219,243
1753067826605855433,0,234,281,220,202,228,212,220,243
1753067826605872150,0,234,269,219,203,227,211,221,242
1753067826605884573,0,235,281,219,203,229,211,220,243
1753067826605928206,0,235,281,227,190,228,210,220,245
1753067826609850128,0,237,281,220,203,228,211,220,244
1753067826609866651,0,234,280,220,203,229,211,220,243
1753067826609878005,0,235,281,219,203,229,211,219,243
1753067826609923123,0,234,292,222,204,228,216,222,243
1753067826613846159,0,235,282,220,203,228,211,220,243
1753067826613854933,0,235,281,219,203,228,211,220,243
1753067826613864123,0,235,282,221,202,229,212,220,243
1753067826613893773,0,234,281,220,203,228,210,221,242
1753067826613906387,0,235,282,230,203,228,212,221,242
1753067826617900216,0,235,283,221,205,229,204,219,244
1753067826617923302,0,235,283,222,203,229,211,221,243
1753067826617934439,0,236,281,221,203,228,210,219,243
1753067826617968701,0,235,283,221,204,228,200,219,241
1753067826622920663,0,234,282,221,202,229,211,220,241
1753067826622942315,0,235,290,220,203,228,212,219,244
1753067826622974430,0,236,282,221,203,229,212,220,242
1753067826622987112,0,242,291,220,202,230,211,220,241
1753067826626883649,0,235,282,220,203,228,213,220,242
1753067826626900975,0,235,282,221,203,227,211,220,242
1753067826626907815,0,234,283,220,203,229,210,221,242
1753067826626919943,0,235,282,220,203,229,211,222,242
1753067826626927477,0,235,282,220,203,229,212,220,241
1753067826630850024,0,235,281,220,203,229,207,219,241
1753067826630863846,0,235,282,220,203,228,211,220,241
1753067826630888465,0,235,283,219,204,228,210,220,241
1753067826630906013,0,235,282,220,203,228,212,222,241
1753067826634871676,0,235,282,220,203,243,211,220,241
1753067826634890303,0,235,282,220,200,229,212,220,241
1753067826634916289,0,227,282,220,198,228,213,221,244
1753067826634933451,0,235,282,220,203,229,211,220,240
1753067826638850007,0,235,282,220,200,229,212,217,243
1753067826638875183,0,235,281,216,203,229,211,220,242
1753067826638885326,0,235,284,220,203,229,211,220,241
1753067826638939588,0,236,282,219,205,231,203,219,242
1753067826638965883,0,233,281,220,203,228,209,220,242
1753067826642866564,0,234,280,224,203,229,211,220,244
1753067826642884918,0,229,281,219,203,227,212,221,242
1753067826642933452,0,234,281,218,203,228,211,220,242
1753067826642952735,0,235,280,218,210,228,211,220,240
1753067826646872544,0,235,279,226,203,227,209,220,242
1753067826646895136,0,235,281,220,203,227,212,220,243
1753067826646945447,0,236,281,218,203,228,211,220,242
1753067826646975697,0,235,281,219,203,228,211,220,242
1753067826650866029,0,236,280,218,203,228,211,221,242
1753067826650900507,0,236,281,219,203,228,211,225,243
1753067826650918121,0,236,286,220,202,232,212,220,243
1753067826650933807,0,234,280,219,204,228,212,220,242
1753067826650946273,0,235,280,218,202,228,221,221,242
1753067826654902011,0,235,280,219,201,232,210,219,243
1753067826654912156,0,235,280,235,203,229,211,220,243
1753067826654917136,0,234,269,229,202,231,210,220,243
1753067826654936357,0,235,280,218,203,227,210,221,244
1753067826658826056,0,236,278,218,205,228,211,220,243
1753067826658834943,0,235,280,219,203,227,197,220,243
1753067826658869492,0,234,280,217,203,228,211,219,244
1753067826658888373,0,235,282,219,203,234,212,220,243
1753067826663886384,0,234,279,218,203,228,211,220,242
1753067826663906596,0,235,279,214,202,229,211,221,242
1753067826663927332,0,233,280,218,203,227,206,222,244
1753067826663960664,0,234,280,219,203,228,211,220,244
1753067826663985460,0,237,278,217,203,227,194,220,241
1753067826667894581,0,235,279,218,203,228,210,221,245
1753067826667924321,0,236,279,218,203,227,210,220,244
1753067826667935400,0,235,261,218,203,229,212,224,244
1753067826667961685,0,236,279,216,205,234,210,220,244
1753067826671856427,0,230,278,218,202,228,211,219,245
1753067826671866474,0,236,280,217,203,228,211,220,245
1753067826671873597,0,236,278,216,198,203,210,220,244
1753067826671898743,0,234,278,218,203,228,211,221,245
1753067826671905959,0,233,280,218,203,228,211,220,244
1753067826675858024,0,234,281,218,202,228,211,220,245
1753067826675876330,0,235,280,219,203,228,212,218,284
1753067826675891993,0,237,279,228,203,229,209,220,244
1753067826675912441,0,235,280,224,202,228,212,220,245
1753067826679811336,0,235,280,220,203,227,211,221,245
1753067826679819696,0,217,287,219,203,229,211,220,244
1753067826679846215,0,234,279,218,204,228,211,220,245
1753067826679861982,0,229,280,219,200,228,212,221,244
1753067826683845808,0,235,280,218,204,228,211,220,244
1753067826683854166,0,235,276,218,206,228,211,220,245
1753067826683860969,0,235,280,218,203,222,211,220,245
1753067826683912711,0,234,280,219,199,227,211,220,244
1753067826683928222,0,256,278,218,188,228,211,220,276
1753067826687853328,0,235,280,218,201,227,210,221,244
1753067826687875568,0,235,280,220,203,228,211,220,244
1753067826687897334,0,235,280,218,202,228,211,221,246
1753067826687913685,0,235,279,219,202,229,211,219,244
1753067826691866296,0,235,280,218,203,228,212,220,244
1753067826691878697,0,235,280,218,203,228,211,220,244
