%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1753067826557779681,0,0,0,-1,0,0,0,0,0
1753067826559805928,0,0,0,-1,0,0,0,0,0
1753067826561782606,0,0,0,-1,0,0,0,0,0
1753067826563745178,0,0,0,-2,0,0,0,0,0
1753067826565742080,0,0,0,-2,1,0,0,0,0
1753067826567727111,0,0,0,-2,0,0,0,0,0
1753067826569776806,0,0,0,-2,1,1,0,-1,0
1753067826571729588,0,0,0,-2,0,1,0,0,0
1753067826573784493,0,0,0,-2,0,1,0,0,0
1753067826575743552,0,0,0,-2,0,1,0,0,0
1753067826577853869,0,0,0,-2,0,1,0,0,0
1753067826579713052,0,0,0,-2,1,1,0,0,-1
1753067826581725827,0,0,0,-2,0,1,0,0,0
1753067826583758658,0,0,0,-2,0,2,0,0,-1
1753067826585789030,0,0,0,-2,1,2,0,-1,0
1753067826587737470,0,0,0,-2,0,2,0,0,-1
1753067826589778301,0,0,0,-1,1,2,0,0,-1
1753067826591737981,0,0,0,-1,0,2,0,0,0
1753067826593775840,0,0,0,-1,0,2,0,0,-1
1753067826595773113,0,0,0,-1,0,2,0,0,0
1753067826597737024,0,0,1,-1,1,2,0,0,-1
1753067826599738729,0,0,0,-1,0,2,0,0,-1
1753067826601740421,0,0,0,-1,1,2,0,0,-1
1753067826603752982,0,0,0,-1,0,2,0,0,-1
1753067826627742647,0,0,1,-1,1,2,0,0,-3
1753067826629741994,0,0,1,-1,1,2,0,0,-3
1753067826631701486,0,0,1,-1,0,2,0,0,-3
1753067826633704282,0,0,2,-1,0,2,0,0,-3
1753067826635707237,0,0,2,-2,1,2,0,0,-2
1753067826637706392,0,0,2,-2,0,2,0,0,-3
1753067826639723442,0,0,2,-3,1,2,0,0,-2
1753067826641735658,0,0,3,-3,0,2,0,0,-2
1753067826643795209,0,0,3,-4,0,2,0,0,-2
1753067826645730887,0,0,3,-4,0,2,0,0,-2
1753067826647733384,0,0,4,-4,0,3,0,0,-2
1753067826649698382,0,0,4,-4,0,3,0,0,-1
1753067826651762294,0,0,4,-4,0,3,0,0,-1
1753067826653745370,0,0,4,-4,0,3,0,0,-1
1753067826655682720,0,0,4,-4,0,3,0,0,-1
1753067826657662248,0,0,4,-4,0,3,0,0,0
1753067826659705341,0,0,5,-4,0,3,0,0,0
1753067826661613440,0,0,4,-4,0,3,0,0,0
1753067826663680200,0,0,4,-4,0,3,0,0,0
1753067826665643532,0,0,4,-4,0,3,0,0,0
1753067826667802016,0,0,4,-4,0,3,0,0,0
1753067826670645246,0,0,4,-4,1,3,0,0,0
1753067826672677870,0,0,4,-4,0,3,0,0,0
1753067826674596848,0,0,4,-4,0,3,0,0,0
1753067826676642412,0,0,4,-3,0,3,0,0,1
1753067826678645545,0,0,4,-3,1,3,0,-1,1
1753067826680620564,0,0,4,-3,0,3,0,0,1
1753067826682692821,0,0,4,-3,1,3,0,0,1
1753067826684621653,0,0,4,-3,1,3,0,0,1
1753067826686610042,0,0,4,-2,1,3,0,0,1
1753067826688598987,0,0,4,-2,0,3,0,0,1
1753067826690637491,0,0,4,-2,0,3,0,0,1
1753067826692597898,0,0,4,-2,0,3,0,0,1
1753067826694605045,0,0,4,-1,0,3,0,0,1
1753067826696543129,0,0,4,-1,0,3,0,0,1
1753067826698563558,0,0,4,-1,1,3,0,0,1
1753067826700570333,0,0,4,-1,0,3,0,0,1
1753067826702583245,0,0,4,-1,0,3,0,0,1
1753067826704578055,0,0,4,-1,0,4,0,0,1
1753067826706552956,0,0,4,-1,0,4,0,0,1
1753067826708610212,0,0,4,-1,0,4,0,0,1
1753067826710549159,0,0,4,-1,0,4,0,0,1
1753067826712558208,0,0,4,-1,0,4,0,0,1
1753067826714528997,0,0,4,-1,0,4,0,0,1
1753067826716533005,0,0,4,-1,1,4,0,0,1
1753067826718546169,0,0,4,-1,0,4,0,0,1
1753067826720520470,0,0,4,-1,1,4,0,0,1
1753067826722635121,0,0,4,-1,0,5,0,0,1
1753067826724526733,0,0,4,-1,0,5,0,0,1
