%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1754277410131053315,0,-327,8085,-4075,9739
1754277410133103818,0,-327,8085,-4075,9739
1754277410135007126,0,-327,8068,-4075,9739
1754277410137015576,0,-327,8068,-4075,9739
1754277410139165526,0,-327,8068,-4075,9739
1754277410141033994,0,-327,8083,-4075,9744
1754277410143154786,0,-327,8083,-4075,9744
1754277410145050745,0,-326,8085,-4074,9738
1754277410147107687,0,-326,8085,-4074,9738
1754277410149124098,0,-326,8085,-4074,9739
1754277410151094109,0,-326,8085,-4074,9739
1754277410153099737,0,-326,8090,-4074,9739
1754277410155140373,0,-326,8090,-4074,9739
1754277410157029477,0,-314,8065,-4074,9738
1754277410159029167,0,-313,8066,-4073,9738
1754277410161034897,0,-322,8056,-4073,9739
1754277410163055845,0,-322,8055,-4073,9739
1754277410165033311,0,-325,8088,-4073,9738
1754277410167078519,0,-324,8088,-4072,9738
1754277410169035162,0,-318,8067,-4072,9738
1754277410171039931,0,-318,8068,-4072,9738
1754277410173026203,0,-320,8089,-4071,9744
1754277410175019071,0,-320,8090,-4071,9744
1754277410177033575,0,-318,8088,-4071,9738
1754277410179028342,0,-317,8089,-4070,9738
1754277410181039585,0,-319,8090,-4070,9736
1754277410183032532,0,-319,8090,-4070,9736
1754277410185038647,0,-319,8092,-4070,9739
1754277410187011785,0,-318,8092,-4069,9739
1754277410189025463,0,-318,8093,-4069,9740
1754277410191018318,0,-317,8094,-4068,9740
1754277410193022956,0,-320,8091,-4068,9739
1754277410195017829,0,-320,8091,-4068,9739
1754277410197023833,0,-320,8096,-4068,9739
1754277410199042149,0,-319,8098,-4067,9739
1754277410201076944,0,-314,8086,-4067,9737
1754277410203083332,0,-314,8086,-4067,9737
1754277410205066077,0,-315,8078,-4066,9733
1754277410207079136,0,-315,8079,-4066,9733
1754277410209077857,0,-313,8074,-4065,9737
1754277410211120913,0,-313,8074,-4065,9737
1754277410213044466,0,-310,8074,-4065,9737
