%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1746948461216817152,0,452,0,589,575,579,574,587,583,583,608,583,453
1746948461265780802,0,454,0,573,601,611,605,622,619,620,643,621,475
1746948461314991341,0,449,0,571,577,576,568,585,586,583,608,585,452
1746948461364185233,0,454,0,576,616,614,601,618,613,615,645,620,476
1746948461417030564,0,451,1,571,581,581,572,586,584,582,609,581,450
1746948461466304260,0,452,0,573,602,610,602,619,612,615,640,613,473
1746948461515398151,0,456,0,568,581,578,574,587,584,582,608,580,451
1746948461564836954,0,446,0,588,594,605,596,614,611,615,637,613,469
1746948461613994736,0,460,0,555,593,585,576,591,590,590,615,592,455
1746948461667006109,0,432,83,550,606,604,598,611,603,607,631,609,466
1746948461716056044,0,447,19,594,576,582,576,590,589,590,614,588,454
1746948461765051386,0,445,1,565,607,606,595,612,608,608,636,615,469
1746948461814387324,0,449,0,564,592,591,578,593,591,587,613,584,452
1746948461863575826,0,448,0,573,597,600,593,606,601,608,631,604,464
1746948461916787352,0,452,0,570,586,584,580,590,593,589,619,590,453
1746948461965739860,0,455,2,561,596,597,589,604,601,599,629,605,465
1746948462015153864,0,452,0,583,582,588,577,596,591,596,618,591,454
1746948462064492231,0,441,0,574,587,594,582,601,597,599,624,603,461
1746948462113677646,0,450,0,583,587,588,583,600,592,597,619,592,460
1746948462166728262,0,427,0,573,590,593,583,598,596,599,619,598,461
1746948462215892000,0,451,0,574,587,592,585,597,596,600,620,595,459
1746948462265199197,0,446,4,563,598,597,582,598,597,593,617,601,461
1746948462314595049,0,452,0,566,596,596,585,606,599,596,626,598,455
1746948462363349446,0,452,0,572,588,585,577,599,590,594,623,596,456
1746948462416403302,0,448,0,575,592,595,586,604,598,598,625,597,459
1746948462466192394,0,451,0,572,584,587,579,597,592,593,620,594,458
1746948462514767864,0,449,0,571,592,595,586,604,600,601,625,601,458
1746948462564311424,0,448,0,575,583,588,580,595,591,591,617,595,458
1746948462613372432,0,450,0,572,593,595,590,605,601,602,625,600,459
1746948462666307103,0,449,0,573,585,585,577,593,589,593,618,595,456
1746948462715600389,0,450,0,571,594,598,591,605,601,602,625,602,460
1746948462764699625,0,448,0,571,583,587,578,593,590,591,616,592,455
