%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1750041701725612892,0,11590,95,-505,-2035
1750041701727534600,0,11589,94,-505,-2035
1750041701729534214,0,11589,94,-505,-2035
1750041701731583108,0,11589,94,-505,-2035
1750041701733572609,0,11600,94,-465,-2035
1750041701735561867,0,11601,94,-465,-2036
1750041701737566732,0,11585,94,-509,-2036
1750041701739628846,0,11585,94,-509,-2036
1750041701741557323,0,11565,94,-536,-2036
1750041701743558843,0,11564,95,-536,-2036
1750041701745579733,0,11589,95,-505,-2036
1750041701747588949,0,11589,95,-505,-2036
1750041701749620747,0,11589,95,-504,-2035
1750041701751587698,0,11589,95,-508,-2035
1750041701753594307,0,11589,95,-508,-2035
1750041701755611444,0,11575,95,-503,-2035
1750041701757675941,0,11575,95,-503,-2035
1750041701759628259,0,11589,95,-504,-2035
1750041701761618961,0,11589,95,-504,-2035
1750041701763595615,0,11575,95,-512,-2035
1750041701765707768,0,11575,95,-512,-2035
1750041701767571408,0,11589,95,-508,-2035
1750041701769651556,0,11589,95,-508,-2035
1750041701771599384,0,11580,95,-519,-2035
1750041701773628037,0,11580,95,-519,-2035
1750041701775610453,0,11592,95,-508,-2035
1750041701777671533,0,11592,95,-508,-2035
1750041701779604531,0,11619,95,-507,-2035
1750041701781623338,0,11620,95,-507,-2035
1750041701783571963,0,11591,94,-512,-2035
1750041701785681477,0,11592,95,-513,-2036
1750041701787595823,0,11576,95,-508,-2035
1750041701789581486,0,11576,95,-508,-2035
1750041701791560192,0,11581,95,-508,-2035
1750041701793568023,0,11581,95,-509,-2036
1750041701795564114,0,11581,95,-502,-2035
1750041701797651382,0,11581,95,-502,-2035
1750041701799686323,0,11591,95,-507,-2035
1750041701801627399,0,11591,95,-507,-2035
1750041701803599602,0,11581,95,-508,-2036
1750041701805699436,0,11581,95,-507,-2035
1750041701807589233,0,11575,94,-512,-2036
1750041701809585917,0,11574,94,-511,-2035
1750041701811581763,0,11577,94,-503,-2036
1750041701813646825,0,11577,94,-502,-2035
1750041701815578570,0,11580,94,-507,-2036
1750041701817650421,0,11581,95,-507,-2036
1750041701819617905,0,11580,94,-511,-2035
1750041701821614464,0,11580,94,-511,-2035
1750041701823614647,0,11574,94,-503,-2036
1750041701825600143,0,11574,94,-503,-2036
1750041701827597165,0,11589,94,-503,-2036
1750041701829578895,0,11589,94,-502,-2035
1750041701831569026,0,11568,94,-507,-2036
1750041701833598161,0,11568,94,-507,-2036
1750041701835556469,0,11574,94,-418,-2035
1750041701837586195,0,11574,94,-417,-2035
