%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1750481929501835809,0,-7599,3572,3733,1640,400,-882,1715,1972
1750481929503836661,0,-3603,3207,3733,4349,35,3114,4424,1972
1750481929505918190,0,-1701,2842,10127,6253,-330,5016,6328,8366
1750481929507765987,0,-3609,3208,3710,4343,36,3108,4419,1949
1750481929509793770,0,-3609,3572,-1511,4343,400,3108,4419,-3272
1750481929511779499,0,-3609,3207,3729,4343,35,3108,4419,1968
1750481929513773316,0,-3609,3207,8950,13060,35,3108,13136,7189
1750481929515778164,0,-3608,3207,3709,4317,35,3110,4393,1948
1750481929517832139,0,-1528,3207,-1515,-6305,35,5189,-6229,-3276
1750481929519776425,0,-3616,3207,3726,4347,35,3101,4423,1965
1750481929521869759,0,-7599,3207,6200,27324,35,-882,27400,4439
1750481929523812195,0,-3603,3207,3717,4277,35,3114,4353,1956
1750481929525991873,0,379,3207,7406,-16790,35,7097,-16714,5645
1750481929527935252,0,-3615,3207,3705,4343,35,3102,4419,1944
1750481929529896671,0,-3615,3207,3705,4340,35,3102,4416,1944
1750481929531939545,0,-3614,3207,3705,4340,35,3103,4416,1945
1750481929533794755,0,-1779,3207,-2459,4340,35,4938,4416,-4219
1750481929535777142,0,-3621,3207,3723,4340,35,3096,4416,1963
1750481929537779054,0,-3621,3207,3723,4340,35,3096,4416,1963
1750481929539769833,0,-3609,3174,3723,4340,2,3108,4416,1963
1750481929541848510,0,-3609,3174,3723,4340,2,3108,4417,1962
1750481929543824353,0,-3609,3205,3730,4340,34,3108,4417,1970
1750481929545830413,0,-3609,3205,3730,4340,34,3108,4417,1970
1750481929547806628,0,-3603,3190,3722,4336,19,3114,4413,1962
1750481929549785047,0,-3603,3190,3722,4336,19,3114,4413,1963
1750481929551783018,0,-3615,3206,3735,4339,35,3102,4416,1976
1750481929553741125,0,-3615,3206,3735,4339,36,3102,4417,1976
1750481929555845418,0,-3609,3205,3738,4343,35,3108,4421,1979
1750481929557780967,0,-3608,3204,3737,4343,34,3109,4421,1978
1750481929559784146,0,-3608,3204,3738,4335,34,3109,4413,1980
1750481929561811005,0,-3608,3204,3738,4335,34,3109,4414,1980
1750481929563780427,0,-3608,3204,3746,4337,35,3109,4416,1988
1750481929565810407,0,-3608,3204,3745,4337,35,3109,4416,1988
1750481929567813226,0,-3608,3211,3741,4337,42,3109,4416,1984
1750481929569836605,0,-3608,3211,3741,4336,42,3109,4415,1984
1750481929571861653,0,-3614,3193,3747,4326,24,3103,4406,1990
1750481929573939206,0,-3614,3193,3746,4326,24,3103,4406,1989
1750481929575966471,0,-3614,3203,3739,4333,34,3103,4413,1982
1750481929577913728,0,-3614,3203,3739,4332,34,3103,4412,1982
1750481929579814072,0,-7598,3203,3739,1631,34,-881,1711,1982
1750481929582101445,0,-3602,3202,3739,4339,33,3115,4420,1982
1750481929583850269,0,381,3202,3737,4339,33,7099,4420,1979
1750481929585841891,0,-3614,3202,3737,4338,33,3103,4419,1979
1750481929587793316,0,-5695,3202,7385,4338,33,1022,4419,5627
1750481929590081350,0,-3608,3202,3726,4338,33,3109,4419,1968
1750481929591810883,0,-3607,-14176,10448,2481,-17345,3111,2563,8690
1750481929593770318,0,-3607,3255,3695,4343,86,3111,4425,1937
1750481929595809204,0,8896,20635,-5512,4342,17466,15614,4425,-7270
1750481929599337841,0,-3646,3202,3722,4342,33,3071,4425,1964
1750481929599914628,0,-3646,1086,6194,6199,-2083,3071,6282,4436
1750481929601882554,0,-3646,3209,3711,4336,40,3071,4420,1953
1750481929603940914,0,-12233,5689,6465,6240,2520,-5515,6324,4707
1750481929605928497,0,-3620,3200,3706,4330,31,3098,4414,1948
1750481929607740637,0,-5457,-2105,-1518,567,-5274,1260,652,-3277
1750481929609761514,0,-3616,3217,3721,4340,48,3101,4425,1963
1750481929611776008,0,-1779,8158,8942,6197,4989,4938,6282,7183
1750481929613786780,0,-3622,3202,3702,4334,33,3095,4419,1944
1750481929615846753,0,-5458,1086,3716,-610,-2083,1260,-525,1957
1750481929617852769,0,-3616,3207,3715,4350,38,3102,4435,1956
1750481929619799754,0,357,15967,3701,4350,12799,7075,4435,1943
1750481929621850210,0,-3629,3168,3701,4350,0,3090,4435,1942
1750481929623825645,0,-3630,3168,3701,4350,0,3089,4435,1943
1750481929625817650,0,-3624,3200,3704,4350,32,3096,4435,1946
1750481929627822756,0,-3625,3200,3704,4349,32,3095,4434,1946
1750481929629835781,0,-3626,3200,3711,4321,32,3095,4406,1953
1750481929631839361,0,-3626,3200,3711,4321,31,3095,4406,1953
1750481929633845645,0,-3620,3199,3703,4351,31,3101,4436,1945
1750481929635825622,0,-3620,3199,3702,4351,30,3102,4435,1944
1750481929637796194,0,-3620,3199,3702,4353,31,3102,4437,1945
1750481929639841954,0,-3621,3199,3701,4354,31,3101,4438,1944
1750481929641825344,0,-3615,3199,3710,4342,31,3107,4426,1954
1750481929643850230,0,-3616,3199,3709,4343,31,3106,4427,1953
1750481929645831630,0,-3622,3199,3700,4343,31,3101,4427,1945
1750481929647798231,0,-3622,3199,3699,4342,31,3101,4426,1944
1750481929649813991,0,-3617,3199,3679,4345,31,3106,4429,1925
1750481929651803966,0,-3617,3199,3677,4346,31,3106,4430,1923
1750481929653786429,0,-3623,3199,3713,4337,31,3100,4421,1960
1750481929655813311,0,-3623,3199,3712,4337,31,3100,4421,1959
1750481929657786973,0,-3630,3200,3708,4332,32,3093,4416,1955
1750481929659758584,0,-3630,3200,3707,4331,32,3093,4415,1955
1750481929661814623,0,-3618,3193,3706,4337,25,3105,4421,1954
1750481929663918667,0,-3618,3193,3706,4337,25,3105,4421,1955
1750481929665784027,0,-3612,3174,3709,4331,6,3111,4415,1959
1750481929667795858,0,-3612,3174,3708,4331,6,3111,4415,1958
1750481929669744868,0,-1710,-2071,4877,4330,-5239,5013,4414,3128
1750481929671832555,0,-3618,3189,3701,4330,21,3105,4414,1952
1750481929673793130,0,-3618,6545,2525,4330,3377,3105,4414,777
1750481929675827807,0,-3618,3179,3700,4330,11,3105,4414,1952
1750481929677806546,0,-3618,-176,1721,9225,-3344,3105,9309,-26
1750481929679842593,0,-3618,3189,3708,4315,21,3105,4399,1961
1750481929681808641,0,299,2186,1332,215,-982,7022,299,-414
1750481929683834840,0,-3630,3191,3714,4327,23,3093,4411,1968
1750481929685785059,0,-3638,4192,3106,-230,1024,3085,-146,1360
1750481929687824940,0,-3638,3186,3715,4340,18,3085,4424,1969
1750481929689859583,0,-3632,2185,3712,8101,-982,3091,8186,1967
1750481929691827259,0,-3632,3189,3711,4328,23,3091,4413,1966
1750481929693840540,0,-21037,5997,4319,4354,2831,-14314,4439,2575
1750481929695847257,0,-3577,3180,3709,4354,14,3146,4439,1966
1750481929697813138,0,11993,3178,3100,4329,13,18716,4414,1357
1750481929699813780,0,-3624,3178,3708,4328,13,3099,4413,1966
1750481929701801706,0,-5705,3177,3712,7457,13,1018,7542,1970
1750481929703790181,0,-3618,3177,3712,4317,13,3105,4402,1971
1750481929705911918,0,-3618,3176,3711,4317,13,3105,4402,1970
1750481929707857585,0,-3629,3184,3725,4327,21,3094,4412,1984
1750481929709919416,0,-3629,3183,3725,4327,20,3094,4412,1984
1750481929711898805,0,-3624,3180,3726,4326,18,3099,4411,1986
1750481929713923533,0,-3624,3180,3726,4326,18,3100,4411,1986
1750481929715849308,0,-3612,3180,3724,4332,18,3112,4417,1984
1750481929717846687,0,-3613,3179,3724,4332,18,3111,4417,1984
