%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1751244160806096370,0,4814,-5226,4470,1529,-3394,-3987,1428,2107
1751244160808043928,0,4814,-5226,4470,1529,-3394,-3987,1428,2107
1751244160809912448,0,4814,-5226,4469,1529,-3394,-3988,1428,2107
1751244160811908117,0,4814,-5226,4469,1529,-3395,-3988,1428,2107
1751244160813964601,0,4814,-5226,4469,1529,-3395,-3988,1428,2107
1751244160815840251,0,4814,-5226,4469,1529,-3395,-3987,1428,2107
1751244160817914980,0,4814,-5226,4469,1529,-3395,-3988,1428,2107
1751244160819882961,0,4814,-5226,4468,1529,-3395,-3988,1428,2107
1751244160821859175,0,4814,-5226,4468,1529,-3395,-3987,1428,2107
1751244160823872379,0,4814,-5226,4468,1529,-3395,-3988,1428,2107
1751244160825844835,0,4814,-5227,4467,1530,-3395,-3988,1428,2107
1751244160827795831,0,4815,-5227,4467,1529,-3395,-3988,1428,2107
1751244160829839033,0,4815,-5227,4466,1529,-3395,-3987,1428,2107
1751244160831792735,0,4815,-5227,4466,1529,-3395,-3988,1428,2107
1751244160833791927,0,4815,-5227,4466,1530,-3395,-3988,1428,2107
1751244160835881967,0,4815,-5226,4466,1530,-3394,-3988,1428,2107
1751244160837799544,0,4815,-5226,4466,1530,-3395,-3987,1428,2107
1751244160839783353,0,4815,-5226,4466,1529,-3395,-3988,1428,2107
1751244160841771625,0,4815,-5226,4466,1529,-3394,-3988,1428,2107
1751244160843731719,0,4815,-5226,4466,1529,-3395,-3987,1428,2107
1751244160845848286,0,4815,-5226,4466,1529,-3395,-3988,1428,2107
1751244160847752156,0,4815,-5226,4466,1529,-3394,-3988,1428,2107
1751244160849814326,0,4815,-5226,4466,1529,-3395,-3988,1428,2107
1751244160851804582,0,4815,-5226,4466,1529,-3395,-3988,1428,2107
1751244160853815600,0,4815,-5226,4466,1529,-3394,-3988,1428,2107
1751244160855810345,0,4815,-5226,4466,1529,-3395,-3988,1428,2107
1751244160857802256,0,4815,-5226,4466,1529,-3395,-3988,1428,2107
1751244160859843635,0,4815,-5226,4467,1529,-3395,-3988,1428,2107
1751244160861798194,0,4815,-5226,4467,1529,-3395,-3987,1428,2107
1751244160863813578,0,4815,-5226,4467,1529,-3395,-3988,1428,2107
1751244160865812172,0,4814,-5226,4467,1529,-3395,-3988,1428,2107
1751244160867791933,0,4815,-5225,4467,1529,-3394,-3987,1428,2107
1751244160869779180,0,4814,-5225,4467,1529,-3394,-3988,1428,2107
1751244160871763047,0,4814,-5225,4467,1529,-3394,-3988,1428,2107
1751244160873738451,0,4814,-5225,4468,1529,-3394,-3988,1428,2107
1751244160875798087,0,4814,-5225,4468,1529,-3395,-3988,1428,2107
1751244160877773650,0,4814,-5225,4468,1529,-3394,-3988,1428,2107
1751244160879792247,0,4814,-5225,4468,1529,-3395,-3988,1428,2107
1751244160881717523,0,4814,-5225,4468,1529,-3395,-3988,1428,2107
1751244160883754604,0,4814,-5225,4468,1529,-3395,-3988,1428,2107
1751244160885835343,0,4814,-5225,4468,1529,-3395,-3987,1428,2107
1751244160887766306,0,4814,-5224,4468,1529,-3394,-3988,1428,2107
1751244160889761971,0,4814,-5224,4468,1529,-3394,-3988,1428,2107
1751244160891739527,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160893719975,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160895716136,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160897736304,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160899726310,0,4814,-5224,4468,1529,-3395,-3987,1428,2107
1751244160901779370,0,4814,-5224,4468,1529,-3395,-3987,1428,2107
1751244160903714489,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160905696875,0,4814,-5224,4468,1529,-3394,-3988,1428,2107
1751244160907634955,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160909633628,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160911641701,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160913654468,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160915640275,0,4814,-5224,4468,1529,-3394,-3988,1428,2107
1751244160917659785,0,4814,-5224,4468,1529,-3395,-3988,1428,2107
1751244160919675467,0,4814,-5223,4468,1529,-3394,-3988,1428,2107
1751244160921650272,0,4814,-5223,4468,1529,-3394,-3988,1428,2107
1751244160923617809,0,4814,-5223,4468,1529,-3394,-3988,1428,2107
1751244160925630079,0,4814,-5223,4468,1529,-3395,-3988,1428,2107
1751244160927632026,0,4814,-5223,4468,1529,-3395,-3988,1428,2107
1751244160929648736,0,4814,-5223,4468,1529,-3394,-3988,1428,2107
1751244160931592609,0,4814,-5223,4468,1529,-3395,-3988,1428,2107
1751244160933575386,0,4814,-5223,4468,1529,-3395,-3988,1428,2107
1751244160935594547,0,4814,-5223,4468,1529,-3395,-3988,1428,2107
1751244160937576024,0,4815,-5223,4468,1529,-3395,-3988,1428,2107
1751244160939541375,0,4815,-5223,4469,1529,-3395,-3987,1428,2107
1751244160941559044,0,4815,-5223,4468,1529,-3395,-3988,1428,2107
1751244160943560027,0,4815,-5223,4469,1529,-3395,-3988,1428,2107
1751244160945572535,0,4815,-5224,4469,1529,-3394,-3988,1428,2107
1751244160947551431,0,4815,-5224,4469,1529,-3395,-3988,1428,2107
1751244160949583381,0,4815,-5224,4469,1529,-3395,-3988,1428,2107
1751244160951561521,0,4815,-5224,4469,1529,-3395,-3988,1428,2107
1751244160953580938,0,4815,-5224,4469,1529,-3395,-3987,1428,2107
1751244160955595013,0,4815,-5224,4469,1529,-3395,-3987,1428,2107
1751244160957546012,0,4815,-5224,4469,1529,-3394,-3988,1428,2107
1751244160959549976,0,4815,-5224,4469,1529,-3395,-3988,1428,2107
1751244160961556552,0,4815,-5225,4469,1529,-3394,-3988,1428,2107
1751244160963601163,0,4815,-5225,4468,1529,-3395,-3988,1428,2107
1751244160965576869,0,4815,-5225,4468,1529,-3394,-3988,1428,2107
1751244160967577202,0,4815,-5225,4468,1529,-3394,-3987,1428,2107
1751244160969554006,0,4815,-5225,4468,1529,-3395,-3988,1428,2107
1751244160971553674,0,4815,-5225,4468,1529,-3395,-3988,1428,2107
1751244160973551915,0,4815,-5225,4468,1529,-3395,-3988,1428,2107
1751244160975558469,0,4814,-5225,4467,1529,-3395,-3987,1428,2107
1751244160977542828,0,4814,-5225,4467,1529,-3395,-3988,1428,2107
1751244160979538791,0,4814,-5225,4468,1529,-3395,-3988,1428,2107
1751244160981542834,0,4814,-5226,4468,1529,-3395,-3988,1428,2107
1751244160983522796,0,4814,-5225,4467,1529,-3395,-3987,1428,2107
1751244160985527670,0,4814,-5226,4468,1529,-3395,-3988,1428,2107
1751244160987544836,0,4814,-5226,4468,1529,-3395,-3988,1428,2107
1751244160989462929,0,4814,-5226,4468,1529,-3394,-3988,1428,2107
1751244160991485356,0,4814,-5226,4468,1529,-3394,-3988,1428,2107
1751244160993459056,0,4814,-5226,4467,1529,-3394,-3988,1428,2107
1751244160995505620,0,4814,-5226,4467,1528,-3395,-3988,1428,2107
1751244160997487589,0,4814,-5226,4467,1528,-3395,-3988,1428,2107
1751244160999434310,0,4814,-5226,4467,1528,-3394,-3988,1428,2107
1751244161001466175,0,4814,-5226,4467,1528,-3394,-3988,1428,2107
1751244161003502947,0,4814,-5226,4467,1528,-3395,-3988,1428,2107
1751244161005491844,0,4814,-5226,4467,1528,-3394,-3988,1428,2107
1751244161007517875,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161009518235,0,4814,-5226,4467,1528,-3395,-3988,1428,2107
1751244161011493640,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161013474440,0,4814,-5226,4468,1528,-3394,-3987,1428,2107
1751244161015467897,0,4814,-5226,4468,1528,-3394,-3988,1428,2107
1751244161017482381,0,4813,-5226,4468,1528,-3395,-3988,1428,2107
1751244161019468582,0,4814,-5226,4468,1528,-3394,-3988,1428,2107
1751244161021497372,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161023509506,0,4813,-5226,4468,1528,-3395,-3988,1428,2107
1751244161025500701,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161027431111,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161029502537,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161031491780,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161033474758,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161035490561,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161037467233,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161039403688,0,4814,-5226,4468,1528,-3394,-3987,1428,2107
1751244161041371572,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161043421747,0,4814,-5226,4468,1528,-3395,-3988,1428,2107
1751244161045411693,0,4814,-5225,4468,1528,-3394,-3988,1428,2107
1751244161047378701,0,4814,-5225,4468,1528,-3394,-3988,1428,2107
1751244161049345180,0,4814,-5225,4468,1528,-3394,-3988,1428,2107
1751244161051337757,0,4814,-5225,4468,1528,-3395,-3988,1428,2107
1751244161053434447,0,4814,-5225,4468,1528,-3395,-3988,1428,2107
