%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1751254757199216530,0,244,223,218,210,216,212,228,227
1751254757199243747,0,244,224,218,212,207,210,228,226
1751254757199275786,0,244,225,218,212,208,210,230,227
1751254757199308813,0,241,224,218,211,208,212,229,227
1751254757202180314,0,243,225,234,211,208,212,231,227
1751254757202195743,0,243,224,223,212,208,212,229,227
1751254757202203785,0,243,223,218,206,209,212,228,227
1751254757202216970,0,242,221,218,209,208,212,229,227
1751254757206123288,0,242,225,220,211,211,212,228,227
1751254757206133744,0,241,222,217,206,207,211,229,226
1751254757206150732,0,242,223,218,211,209,211,228,228
1751254757206161959,0,244,224,219,211,209,212,228,227
1751254757206172006,0,243,225,219,213,207,212,230,228
1751254757210087612,0,243,223,219,214,207,220,230,228
1751254757210097196,0,244,225,220,211,209,212,228,228
1751254757210124525,0,244,224,220,214,208,214,229,236
1751254757210199962,0,243,225,219,211,203,212,229,228
1751254757214127021,0,243,225,220,211,208,212,230,227
1751254757214147489,0,243,226,219,210,208,211,228,227
1751254757214168060,0,244,225,219,212,207,212,228,228
1751254757214184398,0,242,225,219,208,209,219,238,227
1751254757219084532,0,243,226,219,211,207,212,229,229
1751254757219094639,0,244,226,220,212,208,212,228,230
1751254757219115373,0,243,226,222,210,208,212,229,228
1751254757219127363,0,243,226,220,209,198,217,226,232
1751254757219174953,0,243,227,220,211,208,213,229,228
1751254757223088717,0,243,227,223,211,207,209,229,228
1751254757223104015,0,244,226,220,210,209,212,228,227
1751254757223139256,0,243,226,220,211,208,212,231,236
1751254757223147628,0,243,226,221,210,208,212,229,228
1751254757227113132,0,244,226,220,213,208,212,228,228
1751254757227139473,0,242,225,220,210,208,212,228,227
1751254757227156101,0,244,228,249,198,217,212,229,229
1751254757227189257,0,244,227,222,211,208,212,229,228
1751254757231188858,0,264,225,220,210,208,204,230,229
1751254757231202360,0,244,227,221,211,208,212,229,228
1751254757231223008,0,244,227,221,211,209,212,228,230
1751254757231231866,0,245,226,221,211,208,212,230,229
1751254757231238636,0,245,226,221,211,208,212,229,226
1751254757235079885,0,247,227,209,210,208,228,229,229
1751254757235089818,0,245,228,221,210,201,213,229,229
1751254757235098939,0,245,227,230,211,208,214,228,227
1751254757235143289,0,244,226,220,210,208,215,229,228
1751254757239104247,0,245,226,221,208,209,210,229,229
1751254757239114159,0,244,227,220,210,208,212,235,230
1751254757239119746,0,243,227,223,210,208,213,229,229
1751254757239128882,0,245,228,222,210,208,216,230,233
