%time,field.data
1749302423781961850,2.0
1749302423791823576,2.0
1749302423801848401,2.0
1749302423811943525,2.0
1749302423822013228,2.0
1749302423831850083,2.0
1749302423841623072,2.0
1749302423851625589,2.0
1749302423861741064,2.0
1749302423871587956,2.0
1749302423881699322,2.0
1749302423891564293,2.0
1749302423901772081,2.0
1749302423911659150,2.0
1749302423921726866,2.0
1749302423931897277,2.0
1749302423941800417,2.0
1749302423951586045,2.0
1749302423961667033,2.0
1749302423971580757,2.0
1749302423981595463,2.0
1749302423991572798,2.0
1749302424001544545,2.0
1749302424011651751,2.0
1749302424021583287,2.0
1749302424031640996,2.0
1749302424041730697,2.0
1749302424051594027,2.0
1749302424061660608,2.0
1749302424071569194,2.0
1749302424081598366,2.0
1749302424091632517,2.0
1749302424101598437,2.0
1749302424111590858,2.0
1749302424121618239,2.0
1749302424131612110,2.0
1749302424141783313,2.0
1749302424151604990,2.0
1749302424161758818,2.0
1749302424171594088,2.0
1749302424181682672,2.0
1749302424191611606,2.0
1749302424201755377,2.0
1749302424211606813,2.0
1749302424221627628,2.0
1749302424231560929,2.0
1749302424241636328,2.0
1749302424251602777,2.0
1749302424261824312,2.0
1749302424271643033,2.0
1749302424281650095,2.0
1749302424291782243,2.0
1749302424301700068,2.0
1749302424311617189,2.0
1749302424321667080,2.0
1749302424331564032,2.0
1749302424341619386,2.0
1749302424351579734,2.0
1749302424361616735,2.0
1749302424371683799,2.0
1749302424381658783,2.0
1749302424391824238,2.0
1749302424401686802,2.0
1749302424411637727,2.0
1749302424421603001,2.0
1749302424431567037,2.0
1749302424441670796,2.0
1749302424451645077,2.0
1749302424461790571,2.0
1749302424471790572,2.0
1749302424481689818,2.0
1749302424491739657,2.0
1749302424501610168,2.0
1749302424511569999,2.0
1749302424521645221,2.0
1749302424531595107,2.0
1749302424541659788,2.0
1749302424551551114,2.0
1749302424561553304,2.0
1749302424571818117,2.0
1749302424581882648,2.0
1749302424591815217,2.0
1749302424601789637,2.0
1749302424611589007,2.0
1749302424621645570,2.0
1749302424631573459,2.0
1749302424641596203,2.0
1749302424651558420,2.0
1749302424661580828,2.0
1749302424671535345,2.0
1749302424681616098,2.0
1749302424691633328,2.0
1749302424701614116,2.0
1749302424711594004,2.0
1749302424721610607,2.0
1749302424731562649,2.0
1749302424741634472,2.0
1749302424751584999,2.0
1749302424761563123,2.0
1749302424771591160,2.0
1749302424781633198,2.0
1749302424791618432,2.0
1749302424801668069,2.0
1749302424811671128,2.0
1749302424821844787,2.0
1749302424831655594,2.0
1749302424841727160,2.0
1749302424851607595,2.0
1749302424861589086,2.0
1749302424871639381,2.0
1749302424881602618,2.0
1749302424891633767,2.0
1749302424901822450,2.0
1749302424911579524,2.0
1749302424921652929,2.0
1749302424931649106,2.0
1749302424941647781,2.0
1749302424951580349,2.0
1749302424961559639,2.0
1749302424971798404,2.0
1749302424981700603,2.0
1749302424991683635,2.0
1749302425001650959,2.0
1749302425011651736,2.0
1749302425021670539,2.0
1749302425031634126,2.0
1749302425041686135,2.0
1749302425051717488,2.0
1749302425061834108,2.0
1749302425071644379,2.0
1749302425081704691,2.0
1749302425091593798,2.0
1749302425101576578,2.0
1749302425111608297,2.0
1749302425121587869,2.0
1749302425131558915,2.0
1749302425141582116,2.0
1749302425151553639,2.0
1749302425161573398,2.0
1749302425171547404,2.0
1749302425181571474,2.0
1749302425191609687,2.0
1749302425201623137,2.0
1749302425211565980,2.0
1749302425221619937,2.0
1749302425231575537,2.0
1749302425241644445,2.0
1749302425251589142,2.0
1749302425261603923,2.0
1749302425271629667,2.0
1749302425281631937,2.0
1749302425291561217,2.0
1749302425301645098,2.0
1749302425311641655,2.0
1749302425321699070,2.0
1749302425331725867,2.0
1749302425341807929,2.0
1749302425351577591,2.0
1749302425361638968,2.0
1749302425371622288,2.0
1749302425381596795,2.0
1749302425391607874,2.0
1749302425401789563,2.0
1749302425411577243,2.0
