%time,field.layout.data_offset,field.data0
1749302417304596955,0,300
1749302417304678996,0,299
1749302417304709937,0,300
1749302417304725714,0,300
1749302417304740396,0,299
1749302417304751400,0,300
1749302417305263976,0,302
1749302417305283902,0,300
1749302417305294445,0,300
1749302417305318841,0,299
1749302417308084542,0,301
1749302417308112078,0,300
1749302417308129401,0,300
1749302417308146429,0,302
1749302417308156584,0,300
1749302417308170587,0,300
1749302417308215954,0,299
1749302417308247129,0,296
1749302417308263440,0,300
1749302417308291327,0,300
1749302417308301190,0,300
1749302417308341922,0,274
1749302417308370294,0,298
1749302417308382098,0,300
1749302417308393919,0,302
1749302417308418671,0,300
1749302417312112921,0,300
1749302417312122332,0,302
1749302417312188125,0,300
1749302417312206576,0,301
1749302417312238965,0,301
1749302417312287500,0,300
1749302417312321394,0,300
1749302417312346309,0,300
1749302417312364155,0,300
1749302417312373677,0,300
1749302417312385369,0,301
1749302417312401147,0,300
1749302417312412394,0,300
1749302417312421548,0,298
1749302417312431258,0,301
1749302417316208334,0,300
1749302417316228694,0,300
1749302417316242926,0,302
1749302417316252718,0,299
1749302417316283397,0,300
1749302417316298776,0,300
1749302417316321440,0,300
1749302417316333743,0,300
1749302417316366162,0,300
1749302417316397063,0,300
1749302417316408174,0,300
1749302417316424601,0,301
1749302417316435521,0,300
1749302417316444567,0,299
1749302417316457525,0,301
1749302417316488070,0,302
1749302417320265635,0,300
1749302417320288639,0,301
1749302417320299735,0,303
1749302417320313946,0,300
1749302417320333127,0,299
1749302417320354068,0,300
1749302417320372665,0,300
1749302417320400583,0,300
1749302417320417845,0,300
1749302417320439743,0,300
1749302417320480394,0,298
1749302417320493937,0,300
1749302417320514870,0,300
1749302417320526305,0,301
1749302417320542286,0,302
1749302417320555464,0,300
1749302417324407364,0,299
1749302417324425433,0,300
1749302417324443257,0,300
1749302417324488271,0,300
1749302417324511213,0,300
1749302417324531621,0,304
1749302417324554000,0,299
1749302417324580419,0,308
1749302417324602170,0,300
1749302417324615488,0,301
1749302417324624736,0,299
1749302417324640357,0,300
1749302417324666355,0,300
1749302417324683721,0,300
1749302417324702047,0,303
1749302417324718138,0,300
1749302417328535925,0,300
1749302417328558861,0,300
1749302417328576078,0,300
1749302417328602760,0,303
1749302417328619353,0,300
1749302417328633476,0,300
1749302417328644461,0,300
1749302417328658209,0,300
1749302417328669740,0,301
1749302417328681548,0,301
1749302417328692297,0,300
1749302417328715150,0,301
1749302417328734587,0,300
