%time,field.layout.data_offset,field.data0
1749437657414260897,0,296
1749437657414295793,0,292
1749437657414392526,0,292
1749437657414422306,0,293
1749437657414430469,0,292
1749437657414472280,0,291
1749437657414492664,0,293
1749437657414689633,0,292
1749437657414717315,0,292
1749437657414735189,0,293
1749437657414743799,0,291
1749437657414758568,0,292
1749437657414794118,0,292
1749437657414952740,0,292
1749437657414965543,0,292
1749437657414973162,0,293
1749437657418241590,0,292
1749437657418302548,0,292
1749437657418318529,0,292
1749437657418327300,0,292
1749437657418340130,0,292
1749437657418356984,0,292
1749437657418544829,0,291
1749437657418559718,0,290
1749437657418569809,0,291
1749437657418647145,0,290
1749437657418710409,0,291
1749437657418739452,0,291
1749437657418757414,0,293
1749437657418775144,0,292
1749437657418789640,0,292
1749437657418805121,0,292
1749437657422360847,0,291
1749437657422402870,0,292
1749437657422577077,0,292
1749437657422611113,0,292
1749437657422625740,0,291
1749437657422657828,0,293
1749437657422697544,0,292
1749437657422850315,0,293
1749437657422886556,0,292
1749437657422932060,0,292
1749437657422950995,0,292
1749437657422991499,0,291
1749437657423229184,0,292
1749437657423270485,0,291
1749437657423324670,0,293
1749437657423347870,0,293
1749437657426592968,0,291
1749437657426632776,0,292
1749437657426663875,0,292
1749437657426692433,0,291
1749437657426750277,0,292
1749437657426789402,0,290
1749437657426815517,0,291
1749437657426842287,0,292
1749437657426883974,0,292
1749437657426908293,0,293
1749437657426921023,0,292
1749437657426948322,0,292
1749437657427001811,0,292
1749437657427037577,0,292
1749437657427083052,0,292
1749437657427102386,0,292
1749437657430833755,0,292
1749437657430863108,0,291
1749437657430884023,0,292
1749437657430913236,0,293
1749437657430934309,0,293
1749437657430956084,0,293
1749437657430993532,0,292
1749437657431168747,0,297
1749437657431213370,0,292
1749437657431265224,0,290
1749437657431288352,0,292
1749437657431328800,0,292
1749437657431347381,0,292
1749437657431411455,0,296
1749437657431449999,0,293
1749437657431541425,0,291
1749437657434496629,0,292
1749437657434543788,0,293
1749437657434641872,0,293
1749437657434679191,0,293
1749437657434711595,0,292
1749437657434779373,0,291
1749437657434791624,0,292
1749437657434799796,0,292
1749437657434825994,0,292
1749437657434912411,0,292
1749437657434936732,0,292
1749437657434968313,0,293
1749437657434995865,0,291
1749437657435053039,0,291
1749437657435078372,0,293
1749437657435135093,0,292
1749437657438712113,0,292
1749437657438745332,0,292
1749437657438760511,0,293
1749437657438775317,0,292
1749437657438800033,0,292
1749437657438817813,0,292
1749437657438864311,0,292
1749437657439035656,0,292
1749437657439085327,0,291
1749437657439128120,0,292
1749437657439252921,0,292
1749437657439280652,0,292
1749437657439294856,0,292
1749437657439312334,0,292
1749437657439372906,0,290
1749437657439391588,0,291
1749437657442828808,0,292
1749437657442879527,0,292
1749437657443071810,0,293
1749437657443084102,0,292
1749437657443096799,0,291
1749437657443154225,0,292
1749437657443192616,0,292
1749437657443224209,0,292
1749437657443251008,0,293
1749437657443303980,0,291
1749437657443332091,0,292
1749437657443378321,0,291
1749437657443404614,0,292
1749437657443422305,0,292
1749437657443444723,0,292
1749437657443464304,0,292
1749437657446779529,0,291
1749437657446800103,0,293
1749437657446823099,0,292
1749437657446843487,0,292
1749437657446877900,0,293
1749437657447004734,0,291
1749437657447022836,0,292
1749437657447042576,0,292
1749437657447170782,0,292
1749437657447185552,0,292
1749437657447192381,0,293
1749437657447347987,0,292
1749437657447374157,0,291
1749437657447388107,0,292
1749437657447402547,0,292
1749437657447426759,0,292
1749437657450887455,0,291
1749437657450904087,0,292
1749437657450925134,0,289
1749437657450937459,0,292
1749437657450945530,0,293
1749437657451098426,0,291
1749437657451110120,0,291
1749437657451120420,0,291
1749437657451128337,0,292
1749437657451145263,0,292
1749437657451181812,0,292
